native_frame,t_ms,interval_start_ms,interval_end_ms,flutter_frame,flutter_t_ms,motion_sample,visibility_mismatch,interval_visibility_mismatch,native_0_x,flutter_0_x,native_1_x,flutter_1_x,native_2_x,flutter_2_x,native_3_x,flutter_3_x
22,14.746600000000171,-17.15150000000017,45.75429999999983,30,0.0,False,False,False,24.0,16,,,,,,
23,50.29515000000015,27.05269999999973,72.64719999999988,33,50.0,False,False,False,24.0,16,,,,,,
24,78.3460500000001,53.88209999999981,101.91959999999972,34,66.66700000000003,False,False,False,24.0,16,,,,,,
25,110.21665000000007,83.08919999999989,136.4536999999998,36,100.0,True,True,False,24.0,16,,436,,,,
26,148.83280000000013,117.70089999999982,179.07429999999977,38,133.33299999999997,True,True,True,24.0,16,,436,,,,
27,199.9960000000001,160.3237999999999,238.77779999999984,41,183.33299999999997,True,True,True,-10.0,16,,402,,,,
28,261.77305,220.07039999999984,302.58529999999973,45,250.0,True,True,True,-28.0,16,,384,,,,
29,309.6840000000002,283.8334,334.6441999999997,48,300.0,True,True,True,-28.0,16,,384,,,,
30,378.38329999999996,315.8580999999999,440.0180999999998,52,366.66700000000003,True,True,True,-82.0,16,,330,,,,
31,471.3100000000002,421.34029999999984,520.3892999999998,58,466.66700000000003,True,True,True,-97.0,16,,315,,,,
32,529.4412000000002,501.67650000000003,556.3154999999997,61,516.667,True,True,True,-97.0,16,,315,,,,
33,577.4863,537.5862999999999,616.4958999999999,64,566.6669999999999,True,True,True,-174.0,16,,238,,,,
34,624.3636000000001,597.7824999999998,650.0542999999998,67,616.6669999999999,True,True,True,-174.0,16,,238,,,,
35,684.8540000000003,631.3029999999999,737.5145999999995,71,683.3330000000001,True,True,True,-212.0,16,,200,,,,
36,751.8660500000001,718.7532999999999,784.0883999999996,75,750.0,True,True,True,-212.0,16,,189,,,,
37,803.1615500000003,765.3081999999999,840.1244999999999,78,800.0,True,True,True,-265.0,16,,147,,,,
38,857.4876000000004,821.3770999999997,892.7076999999999,81,850.0,True,True,True,-265.0,16,,125,,,,
39,908.0021999999999,873.9436999999998,941.1702999999998,84,900.0,True,True,True,-287.0,16,,124,,,,
40,948.4810500000003,922.4108999999999,973.6607999999997,86,933.3330000000001,True,True,True,-287.0,16,,124,,,,
41,997.3420000000001,954.8755999999998,1038.9179999999997,89,983.3330000000001,True,True,True,-357.0,16,,116,,,,
42,1063.9227500000002,1020.1232999999997,1106.8318,93,1050.0,True,True,True,-414.0,16,,82,,,,
43,1129.2746000000002,1088.0557,1169.6030999999998,97,1116.667,True,True,True,,16,,55,,,,
44,1194.03505,1150.8100999999997,1236.3696,101,1183.333,True,True,True,,16,,38,,,,
45,1254.2878,1217.5717,1290.1134999999995,105,1250.0,True,True,True,,16,,28,,,,
46,1322.5507499999999,1271.3173000000002,1372.8937999999998,109,1316.667,True,True,True,,16,,23,,,,
47,1398.2950999999998,1354.1533,1441.5464999999995,113,1383.333,True,True,True,,16,155.0,20,,,,
48,1473.8699500000002,1422.8096,1524.0398999999998,118,1466.667,True,False,False,,,78.0,18,,,,
49,1547.6646500000002,1505.3047000000001,1589.1341999999995,122,1533.333,True,False,False,,,37.0,16,,,,
50,1623.9422,1570.3778000000002,1676.6161999999995,127,1616.667,True,False,False,,,28.0,16,,,,
51,1697.79995,1657.9101999999998,1736.7992999999997,131,1683.333,False,False,False,,,24.0,16,,,,
52,1742.74375,1717.9654999999998,1766.6315999999997,134,1733.333,False,False,False,,,24.0,16,,,,
53,1774.76935,1747.7984999999999,1800.8498,136,1766.667,False,False,False,,,24.0,16,,,,
54,1805.438,1782.0158000000001,1827.9697999999999,138,1800.0,False,False,False,,,24.0,16,,,,
55,1834.212,1809.2161,1858.3175,140,1833.333,False,False,False,,,24.0,16,,,,
56,1863.7353500000004,1839.4816,1887.0986999999996,141,1850.0,False,False,False,,,24.0,16,,,,
57,1894.1051499999999,1868.2653999999998,1919.0545000000002,143,1883.333,False,False,False,,,24.0,16,,,,
58,1926.9050500000003,1900.2287000000001,1952.6909999999998,145,1916.667,False,False,False,,,24.0,16,,,,
59,1956.6290000000004,1933.862,1978.5055999999995,147,1950.0,False,False,False,,,24.0,16,,,,
60,1984.54815,1959.7754,2008.4304999999995,149,1983.333,False,False,False,,,24.0,16,,,,
61,2013.8750000000005,1989.6983,2037.1612999999998,150,2000.0,False,False,False,,,24.0,16,,,,
62,2044.2459000000003,2018.3326000000002,2069.2688,152,2033.333,False,False,False,,,24.0,16,,,,
63,2076.4208000000003,2050.5566,2101.3945999999996,154,2066.667,False,False,False,,,24.0,16,,,,
64,2105.67185,2082.6832,2127.7700999999997,156,2100.0,False,False,False,,,24.0,16,,,,
65,2135.1879000000004,2109.1846,2160.3008,158,2133.333,False,False,False,,,24.0,16,,,,
66,2165.6961,2141.6475,2188.8543,159,2150.0,False,False,False,,,24.0,16,,,,
67,2194.90645,2170.1234,2218.7991,161,2183.333,False,False,False,,,24.0,16,,,,
