native_frame,t_ms,interval_start_ms,interval_end_ms,flutter_frame,flutter_t_ms,motion_sample,visibility_mismatch,interval_visibility_mismatch,native_0_x,flutter_0_x,native_1_x,flutter_1_x,native_2_x,flutter_2_x,native_3_x,flutter_3_x
25,7.161399999999958,-21.648799999999937,55.41450000000009,30,0.0,False,False,False,24.0,16,,,,,,
26,52.24985000000015,21.937400000000025,102.00520000000006,33,50.0,False,False,False,24.0,16,,,,,,
27,92.24365000000012,68.73160000000007,135.19860000000017,35,83.33299999999997,False,False,False,24.0,16,,,,,,
28,136.81060000000002,101.91530000000012,191.14880000000016,38,133.33299999999997,True,False,False,209.0,16,,,,,,
29,196.2844,157.79449999999997,254.21720000000005,41,183.33299999999997,True,False,False,284.0,16,,,,,,
30,243.08220000000006,220.74389999999994,284.8634000000002,44,233.33299999999997,True,False,False,284.0,16,,,,,,
31,281.43975,251.49069999999983,330.8317000000002,46,266.66700000000003,True,False,False,295.0,16,,,,,,
32,335.2814000000001,297.45029999999997,392.5554000000002,50,333.33299999999997,True,False,False,396.0,16,,,,,,
33,394.64175,359.0756000000001,449.6508000000001,53,383.33299999999997,True,False,False,460.0,16,,,,,,
34,453.55010000000016,416.2820999999999,510.2610000000002,57,450.0,True,True,True,,16,,,,,,
35,514.5973000000001,476.84680000000026,571.7907,60,500.0,True,True,True,,16,,,,,,
36,573.3881500000002,538.4014000000002,627.8178000000003,64,566.6669999999999,True,True,True,,16,,,,,,
37,633.7468999999996,594.4760999999999,692.4605999999999,68,633.3330000000001,True,True,True,,16,,,,,,
38,695.2347500000001,658.9760999999999,750.9362999999998,71,683.3330000000001,True,True,True,,16,,,,,-226.0,
39,754.1158499999997,717.4506000000001,810.2240000000002,75,750.0,True,True,True,,16,,,,,-82.0,
40,816.3276000000001,776.8614000000002,875.2366999999999,78,800.0,True,True,True,,16,,,,,-19.0,
41,884.2563,841.8425000000002,946.1129999999998,83,883.3330000000001,True,True,True,,16,,,,,12.0,
42,948.7862500000001,912.7382000000002,1004.2772,86,933.3330000000001,True,True,True,,16,,,,,21.0,
43,1007.19425,970.9164000000001,1062.9150000000004,90,1000.0,True,True,True,,16,,,,,24.0,
44,1050.6252,1029.6149,1091.0783999999999,93,1050.0,True,True,True,,16,,,,,24.0,
45,1081.1401499999997,1057.7179999999998,1124.0052,94,1066.667,True,True,True,,16,,,,,24.0,
46,1111.2399499999997,1090.5987,1151.3241000000003,96,1100.0,True,True,True,,16,,,,,24.0,
47,1139.6477,1117.9663,1180.7720000000004,98,1133.333,True,True,True,,16,,,,,24.0,
48,1170.2356,1147.4328,1212.4813,100,1166.667,True,True,True,,16,,,,,24.0,
49,1200.58295,1179.15,1241.4587999999999,102,1200.0,True,True,True,,16,,,,,24.0,
50,1230.7242499999998,1208.0911,1272.8003000000003,103,1216.667,True,True,True,,16,,,,,24.0,
51,1259.8707499999996,1239.3184999999999,1299.8659000000002,105,1250.0,True,True,True,,16,,,,,24.0,
52,1290.0944000000004,1266.4039000000002,1333.2278000000001,107,1283.333,True,True,True,,16,,,,,24.0,
53,1321.56515,1299.8168,1362.7563999999998,109,1316.667,True,True,True,,16,,,,,24.0,
54,1349.7889499999997,1329.4278,1389.5930000000003,110,1333.333,True,True,True,,16,,,,,24.0,
55,1379.4989,1356.1096000000002,1422.3310999999999,112,1366.667,True,True,True,,16,,,,,24.0,
56,1410.4969999999998,1388.9669000000004,1451.4699999999998,114,1400.0,True,True,True,,16,,,,,24.0,
57,1440.65785,1417.9862000000003,1482.7724000000003,116,1433.333,True,True,True,,16,,,,,24.0,
58,1471.7591500000003,1449.4028000000003,1513.5584000000003,118,1466.667,True,True,True,,16,,,,,24.0,
59,1500.1433999999995,1480.2132000000001,1539.5165000000002,120,1500.0,True,True,True,,16,,,,,24.0,
60,1528.1597500000003,1506.0317,1569.7307000000005,121,1516.667,True,True,True,,16,,,,,24.0,
