native_frame,t_ms,interval_start_ms,interval_end_ms,flutter_frame,flutter_t_ms,motion_sample,visibility_mismatch,interval_visibility_mismatch,native_0_x,flutter_0_x,native_1_x,flutter_1_x,native_2_x,flutter_2_x,native_3_x,flutter_3_x
25,7.876499999999851,-23.675199999999904,32.98659999999995,30,0.0,False,False,False,24.0,24,,,,,,
26,42.73394999999982,14.375400000000127,64.65090000000009,32,33.33299999999997,False,False,False,24.0,24,,,,,,
27,74.91769999999974,45.92190000000005,97.4719,34,66.66700000000003,False,False,False,24.0,24,,,,,,
28,108.50904999999966,78.86619999999994,131.71029999999996,36,100.0,False,False,False,24.0,24,,,,,,
29,153.09379999999965,113.09400000000005,186.65200000000004,39,150.0,True,False,False,-106.0,-160,,,,,,
30,213.48404999999957,168.04060000000004,252.4858999999999,42,200.0,True,False,False,-311.0,-313,,,,,,
31,274.0051999999996,233.7550000000001,307.8137999999999,46,266.66700000000003,True,False,False,-398.0,-403,,,,,,
32,332.6391999999996,289.0946000000001,369.7421999999999,49,316.66700000000003,False,False,False,,,,,,,,
33,394.9222999999997,351.06730000000016,432.33569999999986,53,383.33299999999997,False,False,False,,,,,,,,
34,454.3671499999996,413.6095,488.68319999999994,57,450.0,False,False,False,,,,,,,,
35,515.8842999999997,470.0974000000001,555.2296000000001,60,500.0,True,False,False,,,339.0,340,,,,
36,583.6087999999995,536.7204000000002,624.0556000000001,65,583.3330000000001,True,False,False,,,131.0,134,,,,
37,648.4415999999997,605.4280000000003,685.0135999999998,68,633.3330000000001,True,False,False,,,67.0,81,,,,
38,714.0836999999997,666.3286000000003,755.3971999999999,72,700.0,True,False,False,,,41.0,47,,,,
39,779.8201999999997,736.8287,816.3700999999996,76,766.6669999999999,True,False,False,,,28.0,33,,,,
40,847.9570499999995,797.6927000000001,891.7797999999998,80,833.3330000000001,True,False,False,,,24.0,26,,,,
41,898.85565,873.1493999999998,918.1203,83,883.3330000000001,False,False,False,,,24.0,24,,,,
42,928.3498999999997,899.4760000000001,950.7822000000001,85,916.6669999999999,False,False,False,,,24.0,24,,,,
