native_frame,t_ms,interval_start_ms,interval_end_ms,flutter_frame,flutter_t_ms,motion_sample,visibility_mismatch,interval_visibility_mismatch,native_0_x,flutter_0_x,native_1_x,flutter_1_x,native_2_x,flutter_2_x,native_3_x,flutter_3_x
22,4.932499999999891,-27.957299999999577,38.1259,30,0.0,False,False,False,24.0,24,,,,,,
23,50.10244999999986,18.018000000000484,82.49049999999988,33,50.0,False,False,False,24.0,24,,,,,,
24,98.07484999999997,62.374800000000505,134.07850000000008,35,83.33299999999997,False,False,False,24.0,24,,,,,,
25,159.16004999999996,114.20110000000022,204.42259999999987,39,150.0,True,False,False,-189.0,-223,,,,,,
26,231.89114999999993,184.2443000000003,279.84159999999997,43,216.66700000000003,True,False,False,-366.0,-368,,,,,,
27,305.78694999999993,259.95390000000043,351.9236000000001,48,300.0,True,True,False,-428.0,,,,,,,
28,381.3758499999999,331.8426000000004,431.21270000000004,52,366.66700000000003,False,False,False,,,,,,,,
29,460.5090499999999,411.07930000000033,510.2424000000001,57,450.0,False,False,False,,,,,,,,
30,536.1198499999996,490.1452000000004,582.3980999999999,62,533.3330000000001,True,False,False,,,226.0,192,,,,
31,607.3672000000001,562.2313000000004,652.8067000000001,66,600.0,True,False,False,,,92.0,95,,,,
32,680.7098999999998,634.2015000000006,727.5219000000002,70,666.6669999999999,True,False,False,,,45.0,53,,,,
33,760.9748500000001,707.3518000000004,814.9014999999999,75,750.0,True,False,False,,,30.0,33,,,,
34,839.8428499999995,794.7124000000003,885.2769000000003,80,833.3330000000001,False,False,False,,,24.0,25,,,,
35,888.71535,865.1186000000002,912.6156999999998,83,883.3330000000001,False,False,False,,,24.0,24,,,,
36,918.4019999999996,892.4171000000001,944.6905000000002,85,916.6669999999999,False,False,False,,,24.0,24,,,,
37,949.7264499999997,924.5309000000002,975.2256000000002,86,933.3330000000001,False,False,False,,,24.0,24,,,,
38,981.0059999999999,955.0584000000003,1007.2572,88,966.6669999999999,False,False,False,,,24.0,24,,,,
39,1011.8561999999997,987.1226000000001,1036.8934,90,1000.0,False,False,False,,,24.0,24,,,,
40,1039.7467000000001,1017.1866000000005,1062.6104,92,1033.333,False,False,False,,,24.0,24,,,,
41,1077.87365,1042.4167000000002,1113.6342,94,1066.667,False,False,False,,,24.0,24,,,,
42,1122.7580999999996,1093.4995000000004,1152.3202999999999,97,1116.667,False,False,False,,,24.0,24,,,,
43,1156.3809999999999,1132.2059000000004,1180.8597,99,1150.0,False,False,False,,,24.0,24,,,,
44,1187.0650499999997,1160.6609000000003,1213.7728000000002,101,1183.333,False,False,False,,,24.0,24,,,,
45,1219.3111999999996,1193.5300000000002,1245.3960000000002,103,1216.667,False,False,False,,,24.0,24,,,,
46,1252.66455,1225.2695000000003,1280.3631999999998,105,1250.0,False,False,False,,,24.0,24,,,,
47,1289.3314999999998,1260.1813000000002,1318.7853,107,1283.333,False,False,False,,,24.0,24,,,,
48,1331.1608499999998,1298.7370000000005,1363.8883,109,1316.667,False,False,False,,,24.0,24,,,,
49,1378.3028500000005,1343.7570000000005,1413.1523000000002,112,1366.667,False,False,False,,,24.0,24,,,,
50,1430.3229999999999,1392.9939000000004,1467.9557,115,1416.667,True,False,False,,,81.0,81,,,,
51,1475.2382499999999,1447.7909000000004,1502.9892,118,1466.667,True,False,False,,,81.0,101,,,,
52,1515.1061999999997,1483.3905000000004,1547.1255,120,1500.0,True,False,False,,,115.0,115,,,,
53,1563.7705499999997,1526.9420000000005,1600.9027,123,1550.0,True,False,False,,,115.0,132,,,,
54,1623.67045,1580.7253000000005,1666.9191999999998,127,1616.667,True,False,False,,,150.0,150,,,,
55,1673.6764500000004,1646.7660000000005,1700.8905,130,1666.667,True,False,False,,,150.0,173,,,,
56,1713.46315,1680.8572000000004,1746.3727,132,1700.0,True,False,False,,,173.0,200,,,,
57,1762.6054,1726.1908000000003,1799.3236000000002,135,1750.0,True,False,False,,,221.0,221,,,,
58,1804.8946499999997,1779.1476000000002,1830.9452999999999,138,1800.0,True,False,False,,,221.0,237,,,,
59,1845.6802999999995,1810.7587000000003,1880.9054999999998,140,1833.333,True,False,False,,,237.0,259,,,,
60,1900.1046499999998,1860.7294000000002,1939.7835,144,1900.0,True,False,False,,,274.0,274,,,,
61,1970.7392999999997,1919.6389000000004,2022.1433000000002,148,1966.667,True,False,False,,,292.0,292,,,,
62,2043.0444499999999,2002.0792000000006,2084.3133,152,2033.333,True,False,False,,,320.0,320,,,,
63,2119.16995,2064.1680000000006,2174.4755,157,2116.667,True,False,False,,,343.0,343,,,,
64,2178.6571499999995,2154.4527000000003,2203.1652,160,2166.667,True,False,False,,,343.0,343,,,,
65,2224.1773,2183.2773,2265.3809,163,2216.667,True,False,False,,,406.0,405,,,,
66,2289.32095,2245.1956000000005,2333.7499,167,2283.333,True,False,False,,,463.0,467,,,,
67,2355.0515499999997,2313.6574000000005,2396.7493,171,2350.0,False,False,False,,,,,,,,
68,2418.7624499999997,2376.4947,2461.3338,175,2416.667,False,False,False,,,,,,,,
69,2479.7661000000003,2441.0786000000003,2518.7572,178,2466.667,False,False,False,,,,,,,,
70,2540.5111999999995,2498.6249000000003,2582.7010999999998,182,2533.333,False,False,False,,,,,,,,
71,2601.37535,2562.4490000000005,2640.6052999999997,186,2600.0,True,False,False,-228.0,-183,,,,,,
72,2659.6314500000003,2620.466000000001,2699.1005,189,2650.0,True,False,False,-81.0,-86,,,,,,
73,2719.74335,2678.9691000000007,2760.8212,193,2716.667,True,False,False,-19.0,-22,,,,,,
74,2781.0015,2740.7842000000005,2821.5224000000003,196,2766.667,True,False,False,8.0,2,,,,,,
75,2840.5753,2801.2837999999997,2880.1703999999995,200,2833.333,True,False,False,19.0,16,,,,,,
76,2901.44825,2860.0586000000008,2943.1415,204,2900.0,False,False,False,24.0,23,,,,,,
77,2960.4829999999997,2922.9065000000005,2998.3631,207,2950.0,False,False,False,24.0,24,,,,,,
78,3003.0169499999997,2978.2351000000003,3028.1024,210,3000.0,False,False,False,24.0,24,,,,,,
79,3034.25665,3007.9728,3060.8441,212,3033.333,False,False,False,24.0,24,,,,,,
80,3066.3976500000003,3040.7180000000003,3092.3809000000006,213,3050.0,False,False,False,24.0,24,,,,,,
81,3094.8941,3072.2226000000005,3117.8691999999996,215,3083.333,False,False,False,24.0,24,,,,,,
82,3124.0908999999997,3097.7391000000002,3150.7462999999993,217,3116.667,False,False,False,24.0,24,,,,,,
83,3156.2307000000005,3130.6318000000006,3182.1332000000007,219,3150.0,False,False,False,24.0,24,,,,,,
84,3186.5447,3161.8921000000005,3211.5008999999995,221,3183.333,False,False,False,24.0,24,,,,,,
85,3217.1608499999998,3191.2590000000005,3243.3663,223,3216.667,False,False,False,24.0,24,,,,,,
86,3246.77525,3223.231,3270.6230999999993,224,3233.333,False,False,False,24.0,24,,,,,,
87,3273.3748,3250.547500000001,3296.5057,226,3266.667,False,False,False,24.0,24,,,,,,
88,3303.0503999999996,3276.2696,3330.1348000000003,228,3300.0,False,False,False,24.0,24,,,,,,
89,3334.45285,3309.9820999999997,3359.2272,230,3333.333,False,False,False,24.0,24,,,,,,
90,3365.2756000000004,3339.0972000000006,3391.7575999999995,231,3350.0,False,False,False,24.0,24,,,,,,
91,3394.6873499999997,3371.6464,3418.0319000000004,233,3383.333,False,False,False,24.0,24,,,,,,
92,3422.99005,3397.9015999999997,3448.3820999999994,235,3416.667,False,False,False,24.0,24,,,,,,
