native_frame,t_ms,interval_start_ms,interval_end_ms,flutter_frame,flutter_t_ms,motion_sample,visibility_mismatch,interval_visibility_mismatch,native_0_x,flutter_0_x,native_1_x,flutter_1_x,native_2_x,flutter_2_x,native_3_x,flutter_3_x
26,3.153750000000173,-28.497299999999996,32.387699999999995,30,0.0,False,False,False,24.0,24,,,,,,
27,38.53890000000001,12.02559999999994,62.635099999999966,32,33.33299999999997,False,False,False,24.0,24,,,,,,
28,71.0001000000002,42.27359999999999,97.30949999999984,34,66.66700000000003,False,False,False,24.0,24,,,,,,
29,119.28189999999995,77.05819999999994,159.08849999999984,37,116.66700000000003,True,False,False,-36.0,-36,,,,,,
30,164.88250000000016,138.81510000000026,188.53279999999995,39,150.0,True,False,False,-36.0,-156,,,,,,
31,208.95335,168.17270000000008,247.3168999999998,42,200.0,True,False,False,-276.0,-311,,,,,,
32,270.50840000000017,227.04719999999998,311.55250000000024,46,266.66700000000003,True,False,False,-381.0,-401,,,,,,
33,330.03205000000025,291.19320000000016,366.45380000000023,49,316.66700000000003,True,True,False,-425.0,,,,,,,
34,388.00340000000006,346.11400000000003,427.47569999999996,53,383.33299999999997,False,False,False,,,,,,,,
35,449.7393500000003,407.21820000000025,489.8434000000002,56,433.33299999999997,False,False,False,,,,,,,,
36,511.8321000000001,469.56690000000026,551.6801999999998,60,500.0,False,False,False,,,,,,,,
37,572.6635000000001,531.4565000000002,611.4533999999999,64,566.6669999999999,True,False,False,,,274.0,231,,,,
38,629.9609,591.1577000000002,666.3470000000002,67,616.6669999999999,True,False,False,,,130.0,134,,,,
39,691.2625499999999,646.0531000000001,734.0549000000001,71,683.3330000000001,True,False,False,,,67.0,70,,,,
40,758.8504000000003,713.7706000000003,801.5131000000001,75,750.0,True,False,False,,,37.0,42,,,,
41,833.3566999999998,781.2451000000001,883.0511999999999,80,833.3330000000001,True,False,False,,,28.0,29,,,,
42,913.95615,862.7445000000002,962.7507,84,900.0,False,False,False,,,24.0,24,,,,
43,974.3202000000001,942.4963000000002,1003.7269999999999,88,966.6669999999999,False,False,False,,,24.0,24,,,,
44,1025.4312,983.4520000000002,1064.9933,91,1016.6669999999999,False,False,False,,,24.0,24,,,,
45,1071.7246,1044.6977000000002,1096.3344000000002,94,1066.667,False,False,False,,,24.0,24,,,,
46,1103.43995,1076.0101,1128.4526999999998,96,1100.0,False,False,False,,,24.0,24,,,,
47,1135.1524,1108.2033000000001,1159.6844,98,1133.333,False,False,False,,,24.0,24,,,,
48,1166.6906000000004,1139.3273,1191.6368000000002,100,1166.667,False,False,False,,,24.0,24,,,,
49,1198.27875,1171.2811000000002,1222.8593,101,1183.333,False,False,False,,,24.0,24,,,,
50,1227.7233500000002,1202.5080000000003,1250.5216,103,1216.667,False,False,False,,,24.0,24,,,,
51,1256.1804000000002,1230.2848,1279.6589,105,1250.0,False,False,False,,,24.0,24,,,,
52,1286.9805999999999,1259.4144999999999,1312.1296000000002,107,1283.333,False,False,False,,,24.0,24,,,,
53,1318.1089500000003,1291.7793000000001,1342.0215000000003,109,1316.667,False,False,False,,,24.0,24,,,,
54,1349.0728,1321.7957000000001,1373.9328,110,1333.333,False,False,False,,,24.0,24,,,,
55,1377.409,1353.7203,1398.6806000000001,112,1366.667,False,False,False,,,24.0,24,,,,
56,1405.5659999999998,1378.4411999999998,1430.2737000000002,114,1400.0,False,False,False,,,24.0,24,,,,
