native_frame,t_ms,interval_start_ms,interval_end_ms,flutter_frame,flutter_t_ms,motion_sample,visibility_mismatch,interval_visibility_mismatch,native_0_x,flutter_0_x,native_1_x,flutter_1_x,native_2_x,flutter_2_x,native_3_x,flutter_3_x
18,5.653749999999945,-20.10480000000007,36.23910000000001,30,0.0,False,False,False,24.0,24,,,,,,
19,49.861650000000054,24.12949999999978,80.42060000000015,32,33.33299999999997,False,False,False,24.0,24,,,,,,
20,97.9664499999999,68.0435,132.71620000000007,35,83.33299999999997,True,False,False,24.0,84,,,,,,
21,144.4076,120.33349999999996,173.30849999999987,38,133.33299999999997,True,False,False,84.0,84,,,,,,
22,204.53915000000006,160.95409999999993,252.95100000000002,42,200.0,True,False,False,361.0,359,,,,,,
23,286.71080000000006,240.59480000000008,337.6536000000001,47,283.33299999999997,True,False,False,456.0,462,,,,,,
24,360.83680000000004,325.3430000000001,401.15740000000005,51,350.0,False,False,False,,,,,,,,
25,431.62940000000003,388.89020000000005,479.19540000000006,55,416.66700000000003,False,False,False,,,,,,,,
26,509.5504000000001,466.8920999999998,557.0355,60,500.0,False,False,False,,,,,,,,
27,579.8097,544.6708000000001,619.7753999999998,64,566.6669999999999,True,False,False,,,,,,,-139.0,-183
28,644.1234999999999,607.4642000000001,685.6096,68,633.3330000000001,True,False,False,,,,,,,-44.0,-65
29,720.48235,673.3632999999998,772.4282000000001,73,716.6669999999999,True,False,False,,,,,,,4.0,-5
30,794.3680500000003,760.0822000000001,833.4807000000003,77,783.3330000000001,True,False,False,,,,,,,20.0,14
31,862.1970999999996,821.1631999999997,908.0577999999998,81,850.0,True,False,False,,,,,,,24.0,22
32,919.7373499999997,895.6876999999997,948.6138000000003,85,916.6669999999999,False,False,False,,,,,,,24.0,24
33,959.3161000000002,936.2583999999999,987.2005999999999,87,950.0,False,False,False,,,,,,,24.0,24
34,998.0400000000002,974.9003,1026.0064999999997,89,983.3330000000001,False,False,False,,,,,,,24.0,24
35,1032.0087999999998,1013.6229999999998,1055.2213999999997,91,1016.6669999999999,False,False,False,,,,,,,24.0,24
36,1061.2194000000002,1042.8383999999999,1084.4272000000003,93,1050.0,False,False,False,,,,,,,24.0,24
37,1091.82965,1072.0685,1116.4176,95,1083.333,False,False,False,,,,,,,24.0,24
38,1129.00595,1104.0300999999997,1158.8086,97,1116.667,False,False,False,,,,,,,24.0,24
39,1167.6445500000002,1146.4588,1193.6570999999997,100,1166.667,False,False,False,,,,,,,24.0,24
40,1204.95925,1181.2764,1233.4689,102,1200.0,False,False,False,,,,,,,24.0,24
41,1240.0104000000003,1221.0833,1263.7643,104,1233.333,False,False,False,,,,,,,24.0,24
42,1271.5722500000004,1251.3762999999997,1296.595,106,1266.667,False,False,False,,,,,,,24.0,24
43,1308.1271,1284.2445999999998,1336.8364,108,1300.0,False,False,False,,,,,,,24.0,24
44,1348.5920500000004,1324.4846999999997,1377.5262,110,1333.333,False,False,False,,,,,,,24.0,24
45,1387.4900499999997,1365.2152999999996,1414.5916,113,1383.333,False,False,False,,,,,,,24.0,24
