native_frame,t_ms,interval_start_ms,interval_end_ms,flutter_frame,flutter_t_ms,motion_sample,visibility_mismatch,interval_visibility_mismatch,native_0_x,flutter_0_x,native_1_x,flutter_1_x,native_2_x,flutter_2_x,native_3_x,flutter_3_x
21,13.004249999999956,-9.202800000000025,35.21129999999994,30,0.0,False,False,False,24.0,24,,,,,,
22,51.75624999999991,33.54169999999999,69.97080000000005,33,50.0,False,False,False,24.0,24,,,,,,
23,93.29359999999997,68.35030000000006,118.23689999999988,35,83.33299999999997,False,False,False,24.0,24,,,,,,
24,145.44909999999982,116.5969,174.30130000000008,38,133.33299999999997,True,False,False,-147.0,-223,,,,,,
25,206.4527999999998,172.6377,240.26789999999983,42,200.0,True,False,False,-329.0,-368,,,,,,
26,272.96614999999997,238.62249999999995,307.3098,46,266.66700000000003,True,False,False,-415.0,-425,,,,,,
27,347.3285999999998,305.63419999999996,389.0229999999999,50,333.33299999999997,False,False,False,,,,,,,,
28,419.1471499999998,387.36749999999984,450.92679999999996,55,416.66700000000003,False,False,False,,,,,,,,
29,485.5102999999999,449.2658000000001,521.7547999999997,59,483.33299999999997,True,False,False,,,403.0,280,,,,
30,548.1374999999998,520.1318999999999,576.1431000000002,62,533.3330000000001,True,False,False,,,187.0,160,,,,
31,611.9074,574.46,649.3548000000001,66,600.0,True,False,False,,,91.0,81,,,,
32,682.3360000000002,647.6803,716.9917,70,666.6669999999999,True,False,False,,,44.0,47,,,,
33,743.5888999999997,715.3107,771.8670999999999,74,733.3330000000001,True,False,False,,,31.0,33,,,,
34,811.43345,770.2174,852.6495,78,800.0,True,False,False,,,26.0,26,,,,
35,876.7188000000001,850.9747000000002,902.4629,82,866.6669999999999,False,False,False,,,24.0,24,,,,
36,926.8169499999999,900.7746999999999,952.8591999999999,85,916.6669999999999,False,False,False,,,24.0,24,,,,
37,970.9862499999999,951.2251000000001,990.7474000000002,88,966.6669999999999,False,False,False,,,24.0,24,,,,
38,1013.3948999999998,989.1352000000002,1037.6545999999998,90,1000.0,False,False,False,,,24.0,24,,,,
39,1055.4735999999998,1036.0592000000001,1074.888,93,1050.0,False,False,False,,,24.0,24,,,,
40,1089.91435,1073.3228,1106.5059,95,1083.333,False,False,False,,,24.0,24,,,,
41,1119.2683499999998,1104.9124000000002,1133.6243,97,1116.667,False,False,False,,,24.0,24,,,,
42,1144.9976499999998,1131.9173999999998,1158.0779000000002,98,1133.333,False,False,False,,,24.0,24,,,,
43,1172.3768499999996,1156.384,1188.3697000000002,100,1166.667,False,False,False,,,24.0,24,,,,
44,1203.5351500000002,1186.6415000000002,1220.4287999999997,102,1200.0,False,False,False,,,24.0,24,,,,
45,1234.2046500000001,1218.6932000000002,1249.7160999999996,104,1233.333,False,False,False,,,24.0,24,,,,
46,1263.9146500000002,1248.0680000000002,1279.7613000000001,105,1250.0,False,False,False,,,24.0,24,,,,
47,1295.3299000000002,1278.2058000000002,1312.4539999999997,107,1283.333,False,False,False,,,24.0,24,,,,
48,1324.6509999999998,1310.8816000000002,1338.4204,109,1316.667,False,False,False,,,24.0,24,,,,
