native_frame,t_ms,interval_start_ms,interval_end_ms,flutter_frame,flutter_t_ms,motion_sample,visibility_mismatch,interval_visibility_mismatch,native_0_x,flutter_0_x,native_1_x,flutter_1_x,native_2_x,flutter_2_x,native_3_x,flutter_3_x
25,4.7445500000001175,-14.139399999999796,23.62850000000003,30,0.0,False,False,False,24.0,24,,,,,,
26,49.24329999999986,14.257499999999936,84.22910000000002,32,33.33299999999997,False,False,False,24.0,24,,,,,,
27,100.62090000000012,74.9864,126.25540000000001,36,100.0,False,False,False,24.0,24,,,,,,
28,137.44899999999984,116.83459999999991,158.0634,38,133.33299999999997,False,False,False,24.0,24,,,,,,
29,171.36839999999984,148.59950000000003,194.13729999999987,40,166.66700000000003,False,False,False,24.0,24,,,,,,
30,203.33674999999994,184.67460000000005,221.99890000000005,42,200.0,False,False,False,24.0,24,,,,,,
31,230.07375000000002,212.63300000000004,247.5145,43,216.66700000000003,False,False,False,24.0,24,,,,,,
32,259.4070999999999,238.1365000000003,280.67769999999996,45,250.0,False,False,False,24.0,24,,,,,,
33,291.2511999999999,271.2538000000002,311.2485999999999,47,283.33299999999997,False,False,False,24.0,24,,,,,,
34,322.4311,301.8324,343.0298,49,316.66700000000003,False,False,False,24.0,24,,,,,,
35,352.62935000000016,333.6537000000001,371.605,51,350.0,False,False,False,24.0,24,,,,,,
36,379.8042499999999,362.2794000000001,397.3290999999999,52,366.66700000000003,False,False,False,24.0,24,,,,,,
37,408.43489999999997,387.86930000000007,429.0004999999999,54,400.0,False,False,False,24.0,24,,,,,,
38,438.6345000000001,419.58490000000006,457.68409999999994,56,433.33299999999997,False,False,False,24.0,24,,,,,,
39,469.38005,448.3668,490.39329999999995,58,466.66700000000003,False,False,False,24.0,24,,,,,,
40,501.0236500000003,481.0128000000002,521.0345,60,500.0,False,False,False,24.0,24,,,,,,
41,530.5220000000002,511.6703,549.3736999999999,61,516.667,False,False,False,24.0,24,,,,,,
42,559.4932000000001,539.9582000000003,579.0282,63,550.0,False,False,False,24.0,24,,,,,,
43,590.1219999999996,569.6086000000003,610.6353999999999,65,583.3330000000001,False,False,False,24.0,24,,,,,,
44,620.3480000000002,601.2028000000003,639.4932000000001,67,616.6669999999999,False,False,False,24.0,24,,,,,,
45,648.8885000000002,630.142,667.635,68,633.3330000000001,False,False,False,24.0,24,,,,,,
46,677.6526999999999,658.4494000000002,696.856,70,666.6669999999999,False,False,False,24.0,24,,,,,,
47,707.0139000000001,687.3934999999999,726.6342999999999,72,700.0,False,False,False,24.0,24,,,,,,
48,736.43065,717.2401000000002,755.6211999999998,74,733.3330000000001,False,False,False,24.0,24,,,,,,
49,766.4031500000003,746.2223000000001,786.5840000000001,75,750.0,False,False,False,24.0,24,,,,,,
50,814.6523,777.1202000000001,852.1843999999999,78,800.0,False,False,False,24.0,24,,,,,,
51,865.4105499999998,843.0096000000001,887.8115,81,850.0,False,False,False,24.0,24,,,,,,
52,903.7384500000001,878.6940000000002,928.7828999999999,84,900.0,False,False,False,24.0,24,,,,,,
53,938.8864500000002,919.3437999999999,958.4291000000001,86,933.3330000000001,False,False,False,24.0,24,,,,,,
54,969.0782000000002,949.1108000000002,989.0455999999997,88,966.6669999999999,False,False,False,24.0,24,,,,,,
55,997.8858499999999,979.7052999999999,1016.0663999999999,89,983.3330000000001,False,False,False,24.0,24,,,,,,
56,1026.0365,1006.6224,1045.4506,91,1016.6669999999999,False,False,False,24.0,24,,,,,,
57,1055.5418000000002,1036.1128999999999,1074.9707,93,1050.0,False,False,False,24.0,24,,,,,,
58,1085.3902499999997,1065.5229000000002,1105.2576000000001,95,1083.333,False,False,False,24.0,24,,,,,,
59,1115.0483500000003,1095.8080000000002,1134.2887000000003,96,1100.0,False,False,False,24.0,24,,,,,,
60,1142.3689500000003,1125.0692000000001,1159.6687,98,1133.333,False,False,False,24.0,24,,,,,,
61,1171.8928500000004,1150.2135,1193.5721999999998,100,1166.667,False,False,False,24.0,24,,,,,,
62,1202.97425,1184.108,1221.8405,102,1200.0,False,False,False,24.0,24,,,,,,
63,1232.9225499999995,1212.5384999999999,1253.3066000000001,103,1216.667,False,False,False,24.0,24,,,,,,
64,1263.6105499999996,1243.9431000000002,1283.278,105,1250.0,False,False,False,24.0,24,,,,,,
65,1293.45655,1273.9545,1312.9586000000002,107,1283.333,False,False,False,24.0,24,,,,,,
66,1324.7536999999995,1303.584,1345.9234,109,1316.667,False,False,False,24.0,24,,,,,,
67,1355.17055,1336.5606,1373.7805,111,1350.0,False,False,False,24.0,24,,,,,,
