native_frame,t_ms,interval_start_ms,interval_end_ms,flutter_frame,flutter_t_ms,motion_sample,visibility_mismatch,interval_visibility_mismatch,native_0_x,flutter_0_x,native_1_x,flutter_1_x,native_2_x,flutter_2_x,native_3_x,flutter_3_x
24,10.18035000000009,-13.384400000000142,31.106300000000147,30,0.0,False,False,False,24.0,24,,,,,,
25,42.440250000000106,21.670399999999972,60.571300000000065,32,33.33299999999997,False,False,False,24.0,24,,,,,,
26,71.37064999999984,51.2509,88.85160000000019,34,66.66700000000003,False,False,False,24.0,24,,,,,,
27,103.20789999999988,79.41390000000001,124.36310000000003,36,100.0,False,False,False,24.0,24,,,,,,
28,133.2138,115.06889999999976,148.71990000000005,37,116.66700000000003,False,False,False,24.0,24,,,,,,
29,161.13985000000002,139.28459999999995,180.35630000000015,39,150.0,False,False,False,24.0,24,,,,,,
30,190.8678500000001,170.9188999999999,208.1780000000001,41,183.33299999999997,False,False,False,24.0,24,,,,,,
31,221.85680000000002,198.86169999999993,242.21310000000017,43,216.66700000000003,False,False,False,24.0,24,,,,,,
32,252.92929999999978,232.90049999999974,270.3193000000001,45,250.0,False,False,False,24.0,24,,,,,,
33,281.34434999999985,261.06309999999985,298.98680000000013,46,266.66700000000003,False,False,False,24.0,24,,,,,,
34,311.20645000000013,289.55089999999996,330.22320000000013,48,300.0,False,False,False,24.0,24,,,,,,
35,342.52080000000024,320.91869999999994,361.4841000000001,50,333.33299999999997,False,False,False,24.0,24,,,,,,
36,373.56050000000005,352.0492999999999,392.43290000000025,52,366.66700000000003,False,False,False,24.0,24,,,,,,
37,418.26234999999997,383.13649999999984,450.74940000000015,55,416.66700000000003,True,False,False,-106.0,-106,,,,,,
38,462.65779999999995,441.31179999999995,481.36500000000024,57,450.0,True,False,False,-106.0,-106,,,,,,
39,492.3128999999999,471.9296999999999,510.05730000000017,59,483.33299999999997,True,False,False,-106.0,-106,,,,,,
40,523.9504000000002,500.6202999999998,544.6417000000001,61,516.667,True,False,False,-106.0,-106,,,,,,
41,556.0075499999998,535.2950999999998,574.0812000000001,63,550.0,True,False,False,-106.0,-106,,,,,,
42,585.4313999999999,564.7888999999996,603.4351000000001,65,583.3330000000001,True,False,False,-106.0,-106,,,,,,
43,613.5198500000001,594.1486,630.2523000000001,66,600.0,True,False,False,-106.0,-106,,,,,,
44,642.6334500000003,620.819,661.8091000000004,68,633.3330000000001,True,False,False,-106.0,-106,,,,,,
45,674.32645,652.3768,693.6373000000003,70,666.6669999999999,True,False,False,-106.0,-256,,,,,,
46,713.2835500000001,684.2058999999999,739.7224000000001,72,700.0,True,False,False,-256.0,-256,,,,,,
47,751.8421000000003,730.395,770.6504000000004,75,750.0,True,False,False,-256.0,-256,,,,,,
48,779.5790000000002,761.3530999999998,795.1661000000004,76,766.6669999999999,True,False,False,-256.0,-256,,,,,,
49,807.7658999999999,785.8716999999997,827.0213000000003,78,800.0,True,False,False,-256.0,-256,,,,,,
50,838.6282500000002,817.5895999999998,857.0281000000004,80,833.3330000000001,True,False,False,-256.0,-256,,,,,,
51,867.9437499999999,847.7221,885.5266000000001,82,866.6669999999999,True,False,False,-256.0,-256,,,,,,
52,898.21945,876.2231999999999,917.5769,83,883.3330000000001,True,False,False,-256.0,-256,,,,,,
53,928.76505,908.1469999999999,946.7443000000003,85,916.6669999999999,True,False,False,-256.0,-256,,,,,,
54,967.1577499999999,937.4304999999999,994.2462,88,966.6669999999999,True,False,False,-136.0,-136,,,,,,
55,1007.5377000000003,984.9340000000002,1027.5026000000003,90,1000.0,True,False,False,-136.0,-136,,,,,,
56,1035.4771500000002,1018.0708999999997,1050.2446,92,1033.333,True,False,False,-136.0,-136,,,,,,
57,1062.5891500000002,1040.9352,1081.6043,93,1050.0,True,False,False,-136.0,-136,,,,,,
58,1093.1080000000002,1072.1736999999998,1111.4035000000003,95,1083.333,True,False,False,-136.0,-136,,,,,,
59,1123.1028999999999,1101.9723999999997,1141.5946000000004,97,1116.667,True,False,False,-136.0,-136,,,,,,
60,1162.3184,1132.1805999999997,1189.8174,99,1150.0,True,False,False,-136.0,-136,,,,,,
61,1206.7175000000002,1180.4011,1230.3951000000002,102,1200.0,True,False,False,-6.0,-6,,,,,,
62,1241.8730999999998,1221.0839999999998,1260.0234,104,1233.333,True,False,False,-6.0,-6,,,,,,
63,1273.2599500000001,1250.7181,1293.163,106,1266.667,True,False,False,-6.0,-6,,,,,,
64,1304.4108500000002,1283.8525,1322.3304000000003,108,1300.0,True,False,False,-6.0,-6,,,,,,
65,1334.8496,1313.0337,1354.0267000000003,110,1333.333,True,False,False,-6.0,-6,,,,,,
66,1364.2422000000001,1344.8473,1380.9983000000002,111,1350.0,True,False,False,-6.0,-6,,,,,,
67,1400.9784,1371.6828999999998,1427.6351,114,1400.0,True,False,False,44.0,44,,,,,,
68,1441.40045,1418.2140999999997,1461.9480000000003,116,1433.333,True,False,False,44.0,44,,,,,,
69,1471.0782000000004,1452.6504,1486.8672000000001,118,1466.667,True,False,False,44.0,44,,,,,,
70,1498.9672999999998,1477.6281,1517.6677,119,1483.333,True,False,False,44.0,44,,,,,,
71,1547.8548500000002,1508.3802999999998,1584.6906000000004,122,1533.333,True,False,False,43.0,39,,,,,,
72,1609.55265,1575.2711999999997,1641.1953000000003,126,1600.0,True,False,False,32.0,28,,,,,,
