native_frame,t_ms,interval_start_ms,interval_end_ms,flutter_frame,flutter_t_ms,motion_sample,visibility_mismatch,interval_visibility_mismatch,native_0_x,flutter_0_x,native_1_x,flutter_1_x,native_2_x,flutter_2_x,native_3_x,flutter_3_x
19,6.965350000000171,-19.06899999999996,33.210799999999836,30,0.0,False,False,False,24.0,24,,,,,,
20,37.54770000000008,12.644400000000132,62.66210000000001,32,33.33299999999997,False,False,False,24.0,24,,,,,,
21,69.70880000000011,42.040700000000015,97.58799999999974,34,66.66700000000003,False,False,False,24.0,24,,,,,,
22,102.02145000000019,77.03720000000021,127.2167999999997,36,100.0,False,False,False,24.0,24,,,,,,
23,144.87220000000002,106.6259,183.3295999999998,38,133.33299999999997,True,False,False,-65.0,-79,,,,,,
24,203.8289000000002,162.71490000000017,245.154,42,200.0,True,False,False,-293.0,-313,,,,,,
25,268.53780000000006,224.53390000000013,312.75279999999975,46,266.66700000000003,True,False,False,-389.0,-403,,,,,,
26,337.0389,292.1853000000001,382.1035999999999,50,333.33299999999997,False,False,False,,,,,,,,
27,408.4081000000001,361.48860000000013,455.53869999999984,54,400.0,False,False,False,,,,,,,,
28,472.89115000000015,435.01030000000014,510.9830999999999,58,466.66700000000003,False,False,False,,,,,,,,
29,536.6234,490.4689000000001,582.9889999999996,62,533.3330000000001,True,False,False,,,,,270.0,231,,
30,606.9166500000001,562.4096,651.6347999999998,66,600.0,True,False,False,,,,,109.0,113,,
31,681.7687000000001,631.0285000000003,732.7199999999998,70,666.6669999999999,True,False,False,,,,,58.0,61,,
32,755.3085500000002,712.1437999999998,798.6844000000001,75,750.0,True,False,False,,,,,31.0,35,,
33,820.0807,778.0689000000002,862.3035999999997,79,816.6669999999999,True,False,False,,,,,26.0,27,,
34,887.8353999999999,841.6835000000001,934.1983999999998,83,883.3330000000001,False,False,False,,,,,24.0,24,,
35,939.4562500000002,913.6240000000003,965.4996000000001,86,933.3330000000001,False,False,False,,,,,24.0,24,,
36,968.4425000000001,944.9337,992.1624000000002,88,966.6669999999999,False,False,False,,,,,24.0,24,,
37,1014.2240999999999,971.5460000000003,1057.1133,90,1000.0,False,False,False,,,,,24.0,24,,
38,1067.60545,1036.6525000000001,1098.7694999999999,94,1066.667,False,False,False,,,,,24.0,24,,
39,1110.1541500000003,1078.2891,1142.2303000000002,96,1100.0,False,False,False,,,,,24.0,24,,
40,1161.01665,1121.7309000000005,1200.5135,99,1150.0,False,False,False,,,,,24.0,24,,
41,1212.0911500000002,1180.0218000000004,1244.3716,102,1200.0,False,False,False,,,,,24.0,24,,
42,1250.89005,1223.8578000000002,1278.1333999999997,105,1250.0,False,False,False,,,,,24.0,24,,
43,1295.3562499999998,1257.5789,1333.3446999999996,107,1283.333,False,False,False,,,,,24.0,24,,
44,1341.9871000000003,1312.7995,1371.3858,110,1333.333,False,False,False,,,,,24.0,24,,
45,1389.68235,1350.9160000000002,1428.6597999999994,113,1383.333,True,False,False,,,,,-142.0,-223,,
46,1452.7136500000001,1408.0782000000004,1497.5602,117,1450.0,True,False,False,,,,,-326.0,-368,,
47,1522.6562000000004,1476.9663,1568.5572000000002,121,1516.667,True,False,False,,,,,-414.0,-425,,
48,1592.6646,1547.9645,1637.5757999999996,125,1583.333,False,False,False,,,,,,,,
49,1674.3196500000004,1617.0642000000003,1731.7861999999996,130,1666.667,False,False,False,,,,,,,,
50,1752.5453500000003,1711.2983,1794.0034999999998,135,1750.0,True,False,False,,,,,,,326.0,231
51,1814.3358000000003,1773.4010000000003,1855.4817000000003,138,1800.0,True,False,False,,,,,,,151.0,134
52,1873.9373999999998,1834.8908000000001,1913.1951,142,1866.667,True,False,False,,,,,,,76.0,70
53,1930.3719,1892.5855000000001,1968.3693999999996,145,1916.667,True,False,False,,,,,,,45.0,47
54,1989.8362500000003,1947.7195000000002,2032.1641,149,1983.333,True,False,False,,,,,,,31.0,33
55,2050.9248500000003,2011.5916000000002,2090.4691999999995,153,2050.0,True,False,False,,,,,,,25.0,26
56,2117.2090500000004,2069.8769,2164.7523,157,2116.667,False,False,False,,,,,,,24.0,24
57,2168.1935000000003,2144.2016000000003,2192.3965,160,2166.667,False,False,False,,,,,,,24.0,24
58,2214.6179,2171.8386,2257.6083,162,2200.0,False,False,False,,,,,,,24.0,24
59,2264.21375,2237.0754,2291.5631999999996,165,2250.0,False,False,False,,,,,,,24.0,24
60,2310.5498000000002,2271.0494000000003,2350.2613,168,2300.0,False,False,False,,,,,,,24.0,24
61,2369.57355,2329.7249,2409.6332999999995,172,2366.667,False,False,False,,,,,,,24.0,24
62,2412.7886500000004,2389.1155000000003,2436.6728999999996,174,2400.0,False,False,False,,,,,,,24.0,24
63,2439.7436,2416.2855,2463.4128,176,2433.333,False,False,False,,,,,,,24.0,24
64,2467.8196,2442.8092,2493.0410999999995,178,2466.667,False,False,False,,,,,,,24.0,24
65,2512.44335,2472.4407,2552.6570999999994,180,2500.0,False,False,False,,,,,,,24.0,24
66,2556.98035,2532.1976,2581.9741999999997,183,2550.0,False,False,False,,,,,,,24.0,24
