native_frame,t_ms,interval_start_ms,interval_end_ms,flutter_frame,flutter_t_ms,motion_sample,visibility_mismatch,interval_visibility_mismatch,native_0_x,flutter_0_x,native_1_x,flutter_1_x,native_2_x,flutter_2_x,native_3_x,flutter_3_x
22,28.049650000000156,3.8412000000000717,54.496599999999944,31,16.66700000000003,False,False,False,24.0,24,,,,,,
23,58.84015000000022,33.91170000000034,86.00710000000004,33,50.0,False,False,False,24.0,24,,,,,,
24,99.91710000000012,65.46000000000026,136.6126999999999,35,83.33299999999997,False,False,False,24.0,24,,,,,,
25,144.60310000000004,116.11640000000011,175.3282999999999,38,133.33299999999997,True,False,False,24.0,-4,,,,,,
26,191.34620000000018,154.7220000000002,230.20889999999986,41,183.33299999999997,True,False,False,-15.0,-15,,,,,,
27,237.71055,209.66520000000014,267.9943999999998,44,233.33299999999997,True,False,False,-15.0,-36,,,,,,
28,284.4552500000002,247.4032000000002,323.7457999999999,47,283.33299999999997,True,False,False,-58.0,-58,,,,,,
29,329.95515,303.1523000000002,358.99649999999997,49,316.66700000000003,True,False,False,-58.0,-58,,,,,,
30,368.4064500000002,338.3906000000002,400.6607999999999,52,366.66700000000003,True,False,False,-79.0,-79,,,,,,
31,405.83900000000017,380.08590000000027,433.8306,54,400.0,True,False,False,-79.0,-79,,,,,,
32,449.4606000000001,413.30820000000017,487.8515,56,433.33299999999997,True,False,False,-135.0,-135,,,,,,
33,492.3547500000002,467.2981000000002,519.6499000000001,59,483.33299999999997,True,False,False,-135.0,-157,,,,,,
34,523.3670500000001,499.0803000000003,549.8923000000002,61,516.667,True,False,False,-157.0,-169,,,,,,
35,560.63815,529.3997000000002,594.1151000000002,63,550.0,True,False,False,-169.0,-169,,,,,,
36,613.3670500000001,573.6537000000001,655.3189,66,600.0,True,False,False,-192.0,-192,,,,,,
37,668.0926999999999,634.7428000000002,703.6811,70,666.6669999999999,True,False,False,-192.0,-220,,,,,,
38,712.5881500000003,683.1092999999998,744.3055000000002,72,700.0,True,False,False,-220.0,-242,,,,,,
39,761.8797000000002,723.8334000000002,802.1645000000001,75,750.0,True,False,False,-263.0,-263,,,,,,
40,809.0353499999999,781.6101000000001,838.6991,78,800.0,True,False,False,-263.0,-263,,,,,,
41,851.3772999999999,818.1106000000002,886.8824999999999,81,850.0,True,False,False,-295.0,-295,,,,,,
42,893.1137000000001,866.3567,922.1092000000001,83,883.3330000000001,True,False,False,-295.0,-295,,,,,,
43,942.8706500000001,901.5179000000005,986.4619,86,933.3330000000001,True,False,False,-369.0,-357,,,,,,
44,1002.4113500000001,965.8858000000002,1041.1753999999999,90,1000.0,True,False,False,-419.0,-419,,,,,,
45,1063.52685,1020.5274999999999,1108.7647,93,1050.0,False,False,False,,,,,,,,
46,1125.2641,1088.1547000000003,1164.6119999999999,97,1116.667,False,False,False,,,,,,,,
47,1183.1564999999998,1144.0818000000002,1224.4696999999999,100,1166.667,False,False,False,,,,,,,,
48,1246.8212500000002,1203.8633000000002,1292.0177,104,1233.333,False,False,False,,,,,,,,
49,1313.5347,1271.4626,1357.8452999999997,108,1300.0,True,False,False,,,228.0,280,,,,
50,1380.34565,1337.2567000000001,1425.6730999999997,112,1366.667,True,False,False,,,109.0,134,,,,
51,1457.1515499999998,1405.1028000000003,1511.4387999999997,117,1450.0,True,False,False,,,51.0,61,,,,
52,1541.0108000000002,1491.1121,1593.148,122,1533.333,True,False,False,,,31.0,35,,,,
53,1624.0977500000001,1572.8901000000003,1677.5439,127,1616.667,True,False,False,,,24.0,26,,,,
54,1686.5638000000001,1657.1155,1718.2506,131,1683.333,False,False,False,,,24.0,24,,,,
55,1732.7902500000002,1697.8254000000004,1769.9936,133,1716.667,False,False,False,,,24.0,24,,,,
56,1785.5278500000002,1749.5198000000003,1823.7744,137,1783.333,False,False,False,,,24.0,24,,,,
57,1835.5194000000004,1803.2956000000001,1869.9817,140,1833.333,False,False,False,,,24.0,24,,,,
58,1878.6758000000002,1849.4943,1910.0957999999998,142,1866.667,False,False,False,,,24.0,24,,,,
59,1922.70555,1889.653,1957.9965999999997,145,1916.667,False,False,False,,,24.0,24,,,,
60,1970.7039000000002,1937.4697000000003,2006.1766,148,1966.667,False,False,False,,,24.0,24,,,,
61,2014.7239000000002,1985.6892,2045.9970999999998,150,2000.0,False,False,False,,,24.0,24,,,,
62,2058.5494,2025.5195,2093.8178,153,2050.0,False,False,False,,,24.0,24,,,,
63,2106.8507499999996,2073.3501000000006,2142.5899,156,2100.0,False,False,False,,,24.0,24,,,,
