native_frame,t_ms,interval_start_ms,interval_end_ms,flutter_frame,flutter_t_ms,motion_sample,visibility_mismatch,interval_visibility_mismatch,native_0_x,flutter_0_x,native_1_x,flutter_1_x,native_2_x,flutter_2_x,native_3_x,flutter_3_x
25,44.742750000000115,12.191300000000183,80.18610000000012,32,33.33299999999997,False,False,False,24.0,24,,,,,,
26,90.76115000000004,61.365600000000086,123.04859999999985,35,83.33299999999997,False,False,False,24.0,24,,,,,,
27,142.25665000000004,104.24010000000021,183.16509999999994,38,133.33299999999997,True,False,False,44.0,44,,,,,,
28,188.8306,164.2107000000001,216.3424,41,183.33299999999997,True,False,False,44.0,58,,,,,,
29,227.39880000000016,197.4807000000003,260.2088000000001,43,216.66700000000003,True,False,False,83.0,83,,,,,,
30,271.9892500000003,241.35860000000025,305.5118,46,266.66700000000003,True,False,False,83.0,105,,,,,,
31,326.1663000000001,286.63290000000006,368.59159999999997,49,316.66700000000003,True,False,False,120.0,120,,,,,,
32,378.51445000000035,349.7162000000001,410.2046,52,366.66700000000003,True,False,False,120.0,137,,,,,,
33,428.74340000000007,391.50400000000013,468.8747000000001,55,416.66700000000003,True,False,False,162.0,162,,,,,,
34,490.53970000000004,449.9703000000002,534.001,59,483.33299999999997,True,False,False,183.0,183,,,,,,
35,543.10715,515.1234000000002,573.9828,62,533.3330000000001,True,False,False,183.0,205,,,,,,
36,594.2044500000004,555.3704,635.9304,65,583.3330000000001,True,False,False,232.0,232,,,,,,
37,650.5475500000005,617.0381,686.9489000000001,69,650.0,True,False,False,232.0,257,,,,,,
38,700.2657000000002,668.0685000000001,735.3548000000003,72,700.0,True,False,False,275.0,275,,,,,,
39,741.4296500000003,716.4713000000004,769.2798999999998,74,733.3330000000001,True,False,False,275.0,297,,,,,,
40,783.4193500000003,750.3971000000004,819.3335,77,783.3330000000001,True,False,False,318.0,318,,,,,,
41,835.3531500000001,800.4392,873.1589999999999,80,833.3330000000001,True,False,False,318.0,329,,,,,,
42,905.2878500000004,854.3325000000002,959.1350999999997,84,900.0,True,False,False,337.0,337,,,,,,
43,966.3014000000001,940.3134000000002,995.1813,87,950.0,True,False,False,337.0,337,,,,,,
44,1012.8680500000003,976.2823000000001,1052.3457,90,1000.0,True,False,False,406.0,401,,,,,,
45,1071.1315000000002,1033.4294000000002,1111.7254999999998,94,1066.667,True,False,False,463.0,465,,,,,,
46,1147.4644,1092.8655,1204.9552,98,1133.333,False,False,False,,,,,,,,
47,1231.6049,1186.1164,1279.9853,103,1216.667,False,False,False,,,,,,,,
48,1296.4224500000003,1261.1286000000002,1334.6082,107,1283.333,False,False,False,,,,,,,,
49,1358.7182000000005,1315.6922000000002,1404.6361,111,1350.0,True,False,False,,,,,,,-287.0,-292
50,1425.6711000000003,1385.7884000000001,1468.4457,115,1416.667,True,False,False,,,,,,,-82.0,-112
51,1491.6758000000002,1449.4921000000002,1536.7513999999999,119,1483.333,True,False,False,,,,,,,-19.0,-33
52,1553.0940000000003,1517.8387,1591.2412000000002,123,1550.0,True,False,False,,,,,,,8.0,2
53,1611.2167000000002,1572.3749,1652.9504,126,1600.0,True,False,False,,,,,,,19.0,14
54,1682.4517000000003,1634.0379,1733.7574000000002,130,1666.667,True,False,False,,,,,,,24.0,22
55,1740.3642500000003,1714.9069000000002,1768.7135,134,1733.333,False,False,False,,,,,,,24.0,24
56,1788.3721000000003,1749.8396,1829.7965000000002,137,1783.333,False,False,False,,,,,,,24.0,24
57,1845.5826,1810.9612,1883.0959,140,1833.333,False,False,False,,,,,,,24.0,24
58,1891.6745000000003,1864.2467,1921.9941999999999,143,1883.333,False,False,False,,,,,,,24.0,24
59,1925.6630500000003,1903.1377,1951.0802999999999,145,1916.667,False,False,False,,,,,,,24.0,24
60,1962.4633999999999,1932.1206,1995.6980999999998,147,1950.0,False,False,False,,,,,,,24.0,24
61,2008.0384500000002,1976.8466,2042.1222,150,2000.0,False,False,False,,,,,,,24.0,24
62,2048.55955,2023.2711000000002,2076.7398999999996,152,2033.333,False,False,False,,,,,,,24.0,24
63,2103.4077500000003,2057.874,2151.8334000000004,156,2100.0,False,False,False,,,,,,,24.0,24
64,2154.629,2133.0315,2179.1184000000003,159,2150.0,False,False,False,,,,,,,24.0,24
65,2182.56055,2160.1992,2207.8138,160,2166.667,False,False,False,,,,,,,24.0,24
66,2209.4903000000004,2189.0633,2232.8091999999997,162,2200.0,False,False,False,,,,,,,24.0,24
