frame,t_ms,interval_start_ms,interval_end_ms,header_second_x,header_correlation,marker_0_x,marker_0_visible_width,bar_0_x,marker_1_x,marker_1_visible_width,bar_1_x,marker_2_x,marker_2_visible_width,bar_2_x,marker_3_x,marker_3_visible_width,bar_3_x
0,-765.8136000000003,-805.1376999999999,-732.9311,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
1,-723.0066000000003,-751.5529999999999,-700.9018000000001,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
2,-691.9352500000002,-719.6333999999999,-670.6787,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
3,-662.1587000000003,-689.4090999999999,-641.3499,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
4,-630.9377000000003,-660.0776999999999,-608.2393000000001,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
5,-601.2429000000002,-626.7896999999999,-582.1377,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
6,-572.3619000000003,-600.8691999999999,-550.2962,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
7,-540.9928000000002,-569.0266999999999,-519.4005,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
8,-510.7147500000003,-538.1307999999999,-489.74030000000005,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
9,-480.1737000000003,-508.34939999999983,-458.43960000000015,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
10,-450.0595500000004,-477.01969999999983,-429.54100000000017,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
11,-421.9215000000004,-448.27189999999996,-402.0127,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
12,-391.7637500000003,-420.62339999999995,-369.3457000000001,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
13,-360.4608000000003,-388.0736999999999,-339.2895000000001,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
14,-330.4575000000002,-358.01689999999985,-309.3397,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
15,-300.8031000000003,-328.06589999999983,-279.9819,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
16,-272.2337000000002,-298.71159999999986,-252.19740000000002,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
17,-242.52590000000032,-270.9229,-220.57050000000004,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
18,-210.76470000000018,-239.19579999999996,-188.77520000000004,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
19,-178.08785000000034,-207.43179999999984,-155.18550000000005,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
20,-148.92005000000017,-173.79989999999998,-130.48180000000002,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
21,-122.25245000000041,-149.21079999999984,-101.73570000000018,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
22,-91.73535000000038,-120.4699999999998,-69.44230000000016,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
23,-60.476500000000215,-88.17090000000007,-39.22370000000001,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
24,-28.194350000000213,-57.79289999999992,-5.0374000000001615,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
25,7.876499999999851,-23.675199999999904,32.98659999999995,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
26,42.73394999999982,14.375400000000127,64.65090000000009,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
27,74.91769999999974,45.92190000000005,97.4719,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
28,108.50904999999966,78.86619999999994,131.71029999999996,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
29,153.09379999999965,113.09400000000005,186.65200000000004,144,0.989227204594458,,0,-106,,0,,,0,,,0,
30,213.48404999999957,168.04060000000004,252.4858999999999,106,0.9743359667547506,,0,-311,,0,,,0,,,0,
31,274.0051999999996,233.7550000000001,307.8137999999999,73,0.9866291226194771,,0,-398,,0,,,0,,,0,
32,332.6391999999996,289.0946000000001,369.7421999999999,43,0.981240452894822,,0,,,0,,,0,,,0,
