frame,t_ms,interval_start_ms,interval_end_ms,header_second_x,header_correlation,marker_0_x,marker_0_visible_width,bar_0_x,marker_1_x,marker_1_visible_width,bar_1_x,marker_2_x,marker_2_visible_width,bar_2_x,marker_3_x,marker_3_visible_width,bar_3_x
0,-729.7387499999999,-780.1213999999999,-681.0504000000001,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
1,-674.6137999999999,-700.1391999999998,-650.7827000000001,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
2,-647.2803499999999,-670.0394999999999,-626.2155,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
3,-607.3712999999999,-645.3669999999998,-571.0699000000001,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
4,-550.4071499999999,-590.1702999999999,-512.3383000000001,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
5,-489.6610999999999,-531.4930999999999,-449.52340000000004,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
6,-440.5190499999999,-468.7131999999999,-414.0192000000002,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
7,-407.4569499999998,-433.2431999999999,-383.365,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
8,-377.7426499999999,-402.58299999999986,-354.5966000000001,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
9,-348.06129999999985,-373.7370999999998,-324.0798,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
10,-319.6552499999998,-343.22669999999994,-297.7781,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
11,-291.5428999999999,-316.9982,-267.78189999999995,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
12,-260.5063,-287.0012999999999,-235.70560000000023,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
13,-214.14454999999998,-254.92269999999985,-175.0607,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
14,-169.56745,-194.0347999999999,-146.79440000000022,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
15,-139.73699999999985,-166.00289999999995,-115.16540000000009,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
16,-108.97704999999996,-134.38850000000002,-85.25990000000002,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
