frame,t_ms,interval_start_ms,interval_end_ms,header_second_x,header_correlation,marker_0_x,marker_0_visible_width,bar_0_x,marker_1_x,marker_1_visible_width,bar_1_x,marker_2_x,marker_2_visible_width,bar_2_x,marker_3_x,marker_3_visible_width,bar_3_x
0,-750.76075,-785.5275000000001,-717.0913,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
1,-710.8121,-734.1764000000001,-688.5451,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
2,-680.17475,-705.8320000000001,-655.6148000000001,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
3,-647.8856499999999,-673.0162000000001,-623.8524,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
4,-617.3091,-641.1289000000002,-594.5866000000001,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
5,-587.7144000000001,-611.9786000000001,-564.5475,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
6,-558.5535500000001,-581.7892000000002,-536.4152,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
7,-529.55385,-553.7034000000001,-506.50160000000005,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
8,-499.23254999999995,-523.7843,-475.7781,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
9,-467.7663,-493.05690000000004,-443.5730000000001,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
10,-438.96894999999995,-460.8593000000001,-418.1759000000002,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
11,-411.49569999999994,-435.46450000000004,-388.6242,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
12,-380.68589999999995,-405.9073000000001,-356.56179999999995,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
13,-349.70155,-373.84640000000013,-326.654,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
14,-316.43094999999994,-343.9211,-290.0381,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
15,-279.62035000000014,-307.32410000000004,-253.01389999999992,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
16,-246.71264999999994,-270.4144000000001,-224.10820000000012,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
17,-215.30809999999997,-241.38920000000007,-190.32430000000022,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
18,-184.33069999999998,-207.72070000000008,-162.038,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
19,-154.15364999999997,-179.43880000000013,-129.96579999999994,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
20,-124.49074999999993,-147.2563,-102.82250000000022,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
21,-96.59339999999997,-120.22479999999996,-74.0592999999999,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
22,-66.69925000000012,-91.35100000000011,-43.14480000000003,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
23,-33.53250000000003,-60.54320000000007,-7.619099999999889,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
24,4.372949999999946,-24.906400000000076,32.554999999999836,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
25,39.42184999999995,15.245899999999892,62.5005000000001,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
26,68.55394999999999,45.10129999999981,90.9092999999998,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
27,100.35654999999997,73.6268,125.98900000000003,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
28,139.70524999999998,108.67059999999992,169.6425999999999,158,1.0000000000000002,,28,-36,,0,,,0,,,0,
29,191.14290000000005,152.40419999999995,228.7842999999998,109,0.9806502807196084,,0,-292,,0,,,0,,,0,
30,254.3006499999999,211.37829999999985,296.12570000000005,81,0.9791094147284569,,0,-388,,0,,,0,,,0,
31,315.0000499999999,278.8499999999999,350.05279999999993,57,0.9985342588917597,,0,-428,,0,,,0,,,0,
32,372.9157,332.6914999999999,412.0426,35,0.9721003121369669,,0,,,0,,,0,,,0,
33,435.6387000000002,394.6485,475.5316,21,0.9993909810509995,,0,,,0,,,0,,,0,
34,494.9390999999998,458.2024999999999,530.5783999999999,21,0.9993909810509995,,0,,,0,,,0,,,0,
35,556.1795999999999,513.2420999999999,598.0198,21,0.9993909810509995,,0,,273,63,273,,0,,,0,
36,624.1801,580.7392999999997,666.5236,21,0.9993909810509995,,0,,108,63,108,,0,,,0,
37,688.1839999999997,649.2238000000002,726.0468999999998,21,0.9993909810509995,,0,,58,63,58,,0,,,0,
38,754.4194000000002,708.7815999999998,798.9599000000003,21,0.9993909810509995,,0,,36,63,36,,0,,,0,
39,820.8326499999998,781.6406999999999,858.9272999999998,21,0.9993909810509995,,0,,27,63,27,,0,,,0,
40,882.7173500000004,841.6554999999998,922.6819,21,0.9993909810509995,,0,,24,64,24,,0,,,0,
41,927.2992499999996,905.2932999999998,948.2078999999999,21,0.9993909810509995,,0,,24,64,24,,0,,,0,
42,954.2811500000003,930.9226999999996,976.5422999999996,21,0.9993909810509995,,0,,24,64,24,,0,,,0,
43,984.26125,959.2593999999999,1008.1658000000002,21,0.9993909810509995,,0,,24,64,24,,0,,,0,
44,1016.8424,990.8798999999999,1041.7076000000002,21,0.9993909810509995,,0,,24,64,24,,0,,,0,
45,1046.7707,1024.4285999999997,1068.0155,21,0.9993909810509995,,0,,24,64,24,,0,,,0,
46,1075.2339500000003,1050.7471,1098.6235000000001,21,0.9993909810509995,,0,,24,64,24,,0,,,0,
47,1104.5441,1081.2265000000002,1126.7644,21,0.9993909810509995,,0,,24,64,24,,0,,,0,
48,1133.9300500000004,1109.4847,1157.2781,21,0.9993909810509995,,0,,24,64,24,,0,,,0,
49,1165.2183499999996,1140.0023999999999,1189.337,21,0.9993909810509995,,0,,24,64,24,,0,,,0,
50,1194.5304,1171.9402,1216.0232999999998,21,0.9993909810509995,,0,,24,64,24,,0,,,0,
51,1224.1432,1198.7691,1248.4199999999996,21,0.9993909810509995,,0,,24,64,24,,0,,,0,
52,1254.7680999999998,1231.1380999999997,1277.3008,21,0.9993909810509995,,0,,24,64,24,,0,,,0,
