frame,t_ms,interval_start_ms,interval_end_ms,header_second_x,header_correlation,marker_0_x,marker_0_visible_width,bar_0_x,marker_1_x,marker_1_visible_width,bar_1_x,marker_2_x,marker_2_visible_width,bar_2_x,marker_3_x,marker_3_visible_width,bar_3_x
0,-757.7443499999998,-791.4031999999999,-724.4016,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
1,-717.3885499999999,-737.3677999999999,-697.7254,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
2,-689.1566499999999,-710.6969999999999,-667.9324,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
3,-659.4093999999999,-681.0061999999998,-638.1287,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
4,-629.0968999999998,-651.2042999999999,-607.3055999999999,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
5,-597.2188999999998,-620.3646999999999,-574.3892,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
6,-567.7490499999999,-587.4534999999998,-548.3607,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
7,-538.6702999999998,-561.4364999999998,-516.2202,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
8,-508.7978999999998,-529.2952999999998,-488.61660000000006,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
9,-479.3453999999999,-501.5740999999998,-457.43280000000004,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
10,-447.4331999999997,-470.5057999999999,-424.6767,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
11,-418.5704999999998,-437.56349999999975,-399.8936000000001,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
12,-389.8967499999999,-412.8416999999997,-367.26790000000005,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
13,-358.89014999999995,-380.3382999999999,-337.7581,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
14,-329.2229,-350.8327999999999,-307.92910000000006,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
15,-299.4641499999998,-320.9875999999997,-278.2567999999999,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
16,-269.3281499999998,-291.3308999999997,-247.64149999999995,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
17,-239.25289999999973,-260.6220999999998,-218.1998000000001,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
18,-208.95709999999985,-231.1497999999999,-187.08050000000003,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
19,-178.80294999999978,-200.15529999999967,-157.7666999999999,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
20,-147.73839999999996,-170.83789999999976,-124.95499999999993,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
21,-118.19844999999987,-137.94149999999968,-98.77150000000006,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
