frame,t_ms,interval_start_ms,interval_end_ms,header_second_x,header_correlation,marker_0_x,marker_0_visible_width,bar_0_x,marker_1_x,marker_1_visible_width,bar_1_x,marker_2_x,marker_2_visible_width,bar_2_x,marker_3_x,marker_3_visible_width,bar_3_x
0,-824.2280000000001,-844.8785999999999,-803.5774,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
1,-761.92975,-785.6154999999999,-738.244,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
2,-728.9221,-747.5862,-710.258,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
3,-700.3985,-719.6727999999999,-681.1242,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
4,-671.84825,-690.5024999999999,-653.194,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
5,-642.0948000000001,-662.6478,-621.5418,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
6,-611.9213,-631.0037,-592.8389,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
7,-579.3951500000001,-602.1073999999999,-556.6829,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
8,-540.1659999999999,-566.1454999999999,-514.1865,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
9,-505.34445000000005,-523.4649,-487.22399999999993,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
10,-477.4951000000001,-496.6053999999999,-458.38480000000004,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
11,-446.21000000000004,-467.8504999999998,-424.56950000000006,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
12,-415.58895000000007,-434.03279999999995,-397.14509999999996,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
13,-387.5454,-406.5305999999998,-368.5602000000001,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
14,-358.0842500000001,-378.0265999999999,-338.1419000000001,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
15,-327.4750999999999,-347.52049999999986,-307.4296999999999,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
16,-294.49350000000004,-316.8192999999999,-272.16769999999997,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
17,-261.2812000000001,-281.56089999999995,-241.00150000000008,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
18,-235.0737999999999,-250.25350000000003,-219.89409999999998,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
19,-208.13965000000007,-229.36109999999985,-186.91820000000007,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
20,-164.52405,-196.38570000000004,-132.66239999999993,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
21,-116.55899999999997,-141.9783,-91.13969999999995,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
22,-81.43730000000005,-100.52539999999976,-62.34919999999988,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
23,-53.858799999999974,-71.67179999999985,-36.0458000000001,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
24,-25.088250000000016,-45.445599999999786,-4.73090000000002,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
25,4.7445500000001175,-14.139399999999796,23.62850000000003,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
26,49.24329999999986,14.257499999999936,84.22910000000002,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
27,100.62090000000012,74.9864,126.25540000000001,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
28,137.44899999999984,116.83459999999991,158.0634,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
29,171.36839999999984,148.59950000000003,194.13729999999987,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
30,203.33674999999994,184.67460000000005,221.99890000000005,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
31,230.07375000000002,212.63300000000004,247.5145,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
32,259.4070999999999,238.1365000000003,280.67769999999996,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
33,291.2511999999999,271.2538000000002,311.2485999999999,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
34,322.4311,301.8324,343.0298,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
35,352.62935000000016,333.6537000000001,371.605,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
36,379.8042499999999,362.2794000000001,397.3290999999999,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
37,408.43489999999997,387.86930000000007,429.0004999999999,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
