frame,t_ms,interval_start_ms,interval_end_ms,header_second_x,header_correlation,marker_0_x,marker_0_visible_width,bar_0_x,marker_1_x,marker_1_visible_width,bar_1_x,marker_2_x,marker_2_visible_width,bar_2_x,marker_3_x,marker_3_visible_width,bar_3_x
0,-765.8574499999999,-794.7314999999999,-732.9628,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
1,-727.5216499999998,-747.6809999999999,-703.3417000000001,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
2,-695.9313999999998,-718.2398,-669.6024,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
3,-665.5103499999998,-684.5183999999999,-642.4817,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
4,-634.8118999999998,-657.1901999999999,-608.413,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
5,-604.6522999999999,-623.1098999999999,-582.1741000000001,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
6,-577.0150999999998,-597.0898,-552.9198,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
7,-545.7361499999998,-567.8365999999999,-519.6151,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
8,-512.2590999999998,-534.5319,-485.96569999999997,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
9,-483.09204999999974,-500.7716999999998,-461.3918000000001,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
10,-455.87419999999975,-476.2156,-431.5122000000001,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
11,-425.86664999999994,-446.3135,-401.39920000000006,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
12,-396.87069999999994,-416.3145999999999,-373.4061999999999,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
13,-366.17265,-388.31909999999993,-340.00559999999996,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
14,-333.1125499999998,-354.91959999999995,-307.2849000000001,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
15,-304.83115,-322.19709999999986,-283.44460000000004,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
16,-277.5392999999999,-298.3563999999999,-252.70159999999987,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
17,-245.97484999999983,-267.4834999999998,-220.4456,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
18,-215.90459999999985,-235.35750000000007,-192.43110000000001,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
19,-184.9001999999998,-207.20649999999978,-158.57330000000002,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
20,-155.00644999999986,-173.42380000000003,-132.56849999999986,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
21,-127.14294999999993,-147.4776999999999,-102.78760000000011,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
22,-94.98204999999984,-117.61470000000008,-68.3288,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
23,-64.4210999999998,-83.22839999999997,-41.593200000000024,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
24,-33.86019999999985,-56.501399999999876,-7.198399999999992,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
25,5.406550000000152,-21.97869999999989,36.812400000000025,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
26,40.85750000000007,21.933800000000247,63.80179999999996,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
27,69.3777500000001,49.00940000000014,93.76670000000013,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
28,101.26785000000018,78.85730000000012,127.69900000000007,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
29,131.28640000000019,112.88320000000022,153.7102,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
30,160.64485000000013,139.03740000000016,186.27289999999994,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
31,190.9086000000002,171.70420000000013,214.13360000000011,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
32,219.7052500000002,199.31809999999996,244.11300000000006,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
33,251.9358000000002,229.28729999999996,278.60490000000004,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
34,282.15284999999994,263.8339000000001,304.49239999999986,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
35,310.5721000000003,289.69230000000016,335.4725000000001,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
36,340.23865000000023,320.65470000000005,363.8432,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
37,372.35405000000014,348.9468999999999,399.7818,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
38,424.7949500000002,384.9862000000003,468.62429999999995,158,1.0000000000000002,,0,-106,,0,,,0,,,0,
39,473.9154000000003,453.73019999999997,498.12120000000004,158,1.0000000000000002,,0,-106,,0,,,0,,,0,
40,505.61990000000014,483.2243000000003,532.0361000000003,158,1.0000000000000002,,0,-106,,0,,,0,,,0,
41,538.9431500000001,517.1277,564.7792,158,1.0000000000000002,,0,-106,,0,,,0,,,0,
42,569.4422000000004,549.8704000000002,593.0346,158,1.0000000000000002,,0,-106,,0,,,0,,,0,
43,596.5409500000001,578.2417,618.8607999999999,158,1.0000000000000002,,0,-106,,0,,,0,,,0,
44,625.87795,604.0509999999999,651.7255,158,1.0000000000000002,,0,-106,,0,,,0,,,0,
45,672.0417500000003,636.8184000000001,711.2856999999999,115,0.9949657552697386,,0,-256,,0,,,0,,,0,
46,718.2982000000002,696.3778000000002,744.2392,115,0.9949657552697386,,0,-256,,0,,,0,,,0,
47,747.9837500000003,729.3335999999999,770.6544999999996,115,0.9949657552697386,,0,-256,,0,,,0,,,0,
48,776.3379000000004,755.8158000000003,800.8806,115,0.9949657552697386,,0,-256,,0,,,0,,,0,
49,806.9982500000001,786.0977000000003,831.9193999999998,115,0.9949657552697386,,0,-256,,0,,,0,,,0,
50,836.7368500000002,817.1494000000002,860.3449,115,0.9949657552697386,,0,-256,,0,,,0,,,0,
51,867.53285,845.4372000000003,893.6490999999996,115,0.9949657552697386,,0,-256,,0,,,0,,,0,
52,897.0159000000003,878.7398000000003,919.3126000000002,115,0.9949657552697386,,0,-256,,0,,,0,,,0,
53,947.7800500000003,904.5243,995.0563999999999,149,0.9775980098710807,,0,-136,,0,,,0,,,0,
54,1005.0217499999999,980.4794000000002,1033.5846999999999,149,0.9775980098710807,,0,-136,,0,,,0,,,0,
55,1054.4563500000004,1018.6729,1094.2604000000001,149,0.9775980098710807,,0,-136,,0,,,0,,,0,
56,1103.5698500000003,1079.4811,1131.6792,149,0.9775980098710807,,0,-136,,0,,,0,,,0,
57,1137.2994500000004,1116.7796000000003,1161.8399,149,0.9775980098710807,,0,-136,,0,,,0,,,0,
58,1192.219,1147.0407,1241.4179,203,0.9800606111880272,,58,-6,,0,,,0,,,0,
59,1263.2721499999998,1226.6273,1303.9375999999997,203,0.9800606111880272,,58,-6,,0,,,0,,,0,
60,1324.58785,1289.2881000000002,1363.9081999999999,203,0.9800606111880272,,58,-6,,0,,,0,,,0,
61,1371.3778500000003,1349.1227000000003,1397.6536,203,0.9800606111880272,,58,-6,,0,,,0,,,0,
62,1423.17155,1382.8068000000003,1467.5569,225,0.9978652449229101,44,64,44,,0,,,0,,,0,
63,1474.8887000000004,1452.6899000000003,1501.1081,225,0.9978652449229101,44,64,44,,0,,,0,,,0,
64,1507.03305,1486.2355000000002,1531.8512,225,0.9978652449229101,44,64,44,,0,,,0,,,0,
65,1539.1900000000005,1517.0244000000002,1565.3762000000002,225,0.9978652449229101,44,64,44,,0,,,0,,,0,
66,1594.9836500000001,1550.5401000000002,1643.4478,213,0.995112395724988,36,63,36,,0,,,0,,,0,
67,1662.5722999999998,1628.5992,1700.5659999999998,191,0.9842260286224028,28,63,28,,0,,,0,,,0,
68,1723.96875,1685.7001,1766.2579999999998,176,0.9942856453781347,26,63,26,,0,,,0,,,0,
69,1791.3952500000005,1751.4277000000002,1835.3834000000002,162,0.9986740443430773,25,63,25,,0,,,0,,,0,
70,1857.2026500000002,1820.7837000000004,1897.6421999999998,158,1.0000000000000002,25,63,25,,0,,,0,,,0,
71,1928.0904500000001,1882.7724000000003,1977.4290999999998,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
72,2000.1658500000003,1962.6082000000001,2041.7441,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
73,2049.5268,2026.9205000000002,2076.1537,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
74,2081.8588,2061.3271,2106.4111,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
75,2108.60185,2091.5668,2129.6575,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
76,2136.6098,2114.7867,2162.4535,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
77,2186.3308500000003,2147.6224,2229.0599,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
78,2237.80335,2214.3005000000003,2265.3268,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
79,2273.2037,2250.5284,2299.8996,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
80,2306.7133000000003,2285.0124,2332.4348,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
81,2337.8854,2317.623,2362.1684,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
82,2372.2103,2347.2575,2401.1837,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
83,2407.3209,2386.3459000000003,2432.3165,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
84,2437.2239,2417.4224000000004,2461.046,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
85,2467.2206,2446.2429,2492.2189,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
86,2499.8316000000004,2477.4358,2526.248,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
87,2528.73135,2511.3438,2550.1394999999998,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
88,2556.0754,2535.2242,2580.9472000000005,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
89,2587.8434500000003,2566.0402000000004,2613.6673,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
90,2618.74445,2598.8572999999997,2642.6522000000004,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
91,2649.80915,2627.7558,2675.8831,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
92,2678.9675500000003,2661.0699000000004,2700.8858,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
93,2706.3140000000003,2685.9683999999997,2730.6802,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
94,2737.83695,2715.7635,2763.9310000000005,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
95,2768.5164999999997,2749.1396999999997,2791.9138999999996,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
