frame,t_ms,interval_start_ms,interval_end_ms,header_second_x,header_correlation,marker_0_x,marker_0_visible_width,bar_0_x,marker_1_x,marker_1_visible_width,bar_1_x,marker_2_x,marker_2_visible_width,bar_2_x,marker_3_x,marker_3_visible_width,bar_3_x
0,-749.4355999999997,-787.7107000000001,-709.5078999999998,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
1,-704.4476499999997,-729.7383000000001,-677.5043999999998,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
2,-669.3216999999997,-697.7828000000002,-639.2079999999999,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
3,-634.1358999999998,-659.5051000000001,-607.1140999999998,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
4,-600.9508999999997,-627.4348000000001,-572.8143999999998,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
5,-569.7100999999997,-593.1345000000001,-544.6330999999998,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
6,-538.7900999999997,-564.8948000000001,-511.03279999999984,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
7,-503.49419999999975,-531.3191000000002,-474.0166999999999,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
8,-468.7100999999998,-494.3805000000002,-441.3870999999999,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
9,-438.0413999999996,-461.6400000000001,-412.7901999999999,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
10,-408.4187999999997,-433.15470000000005,-382.0302999999999,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
11,-376.56804999999963,-402.2749000000001,-349.20859999999993,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
12,-347.2647499999998,-369.44900000000007,-323.4278999999997,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
13,-317.03539999999975,-343.68650000000025,-288.7316999999998,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
14,-286.2814999999996,-308.98310000000015,-261.92729999999983,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
15,-257.3919499999997,-282.1835000000001,-230.94779999999992,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
16,-227.90589999999975,-251.20420000000013,-202.95499999999993,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
17,-199.3603999999998,-223.2293000000002,-173.83889999999974,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
18,-168.95779999999968,-194.08510000000024,-142.17789999999968,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
19,-134.8657499999997,-162.4290000000001,-105.64989999999989,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
20,-97.99219999999968,-126.0114000000001,-68.32039999999984,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
21,-62.43614999999954,-88.60969999999998,-34.60999999999967,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
22,-31.60859999999957,-54.80020000000013,-6.764399999999796,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
23,8.258200000000215,-27.058899999999994,45.22790000000032,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
24,53.91500000000042,24.871199999999817,84.61140000000023,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
25,96.04640000000018,64.50949999999989,129.23590000000013,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
26,150.6622000000002,108.9402,194.0368000000003,,0.4830656624520581,,0,-157,,0,,,0,,,0,
