frame,t_ms,interval_start_ms,interval_end_ms,header_second_x,header_correlation,marker_0_x,marker_0_visible_width,bar_0_x,marker_1_x,marker_1_visible_width,bar_1_x,marker_2_x,marker_2_visible_width,bar_2_x,marker_3_x,marker_3_visible_width,bar_3_x
0,-725.4940499999999,-777.8377,-673.1504,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
1,-659.5455499999999,-689.0222000000001,-630.0689,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
2,-626.0247499999999,-646.1432000000001,-605.9063,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
3,-597.5617,-621.9876,-573.1358,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
4,-566.14275,-589.1664000000001,-543.1190999999999,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
5,-536.6022499999999,-559.1972000000001,-514.0073,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
6,-507.17729999999995,-529.9971,-484.3575000000001,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
7,-479.35654999999997,-500.51560000000006,-458.1975,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
8,-450.3820999999998,-474.3614,-426.40279999999984,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
9,-420.45055,-442.4809,-398.4202,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
10,-389.16374999999994,-414.3837000000001,-363.9438,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
11,-356.1752999999999,-379.90520000000015,-332.44540000000006,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
12,-327.23714999999993,-348.3475000000001,-306.1268,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
13,-299.86375,-322.17340000000013,-277.55409999999983,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
14,-264.7548999999999,-293.71489999999994,-235.79489999999987,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
15,-214.07549999999992,-251.85590000000002,-176.29509999999982,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
16,-153.4025499999998,-192.35460000000012,-114.45049999999992,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
17,-106.1113499999999,-130.46260000000007,-81.76009999999997,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
18,-57.76395000000002,-97.86410000000001,-17.66379999999981,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
19,-11.385150000000067,-33.61869999999999,10.848400000000083,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
20,16.30345000000011,-5.253700000000208,37.86059999999998,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
21,45.59864999999991,21.735400000000027,69.46190000000001,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
22,76.86985000000004,53.376199999999926,100.36349999999993,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
23,105.8713499999999,84.3617999999999,127.38090000000011,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
24,161.16400000000021,111.2831000000001,211.0449000000001,147,0.9993833915900951,,0,-80,,0,,,0,,,0,
25,241.16445,194.9550999999999,287.3738000000001,101,0.9991076964457754,,0,-330,,0,,,0,,,0,
26,305.37890000000016,271.2964000000002,339.46140000000014,61,0.98372145487667,,0,-415,,0,,,0,,,0,
27,373.87155000000007,323.30859999999984,424.43450000000007,32,0.9859542790608644,,0,,,0,,,0,,,0,
28,448.9869500000002,408.3753999999999,489.59850000000006,21,0.9993909810509995,,0,,,0,,,0,,,0,
29,514.10725,473.5504000000001,554.6641,21,0.9993909810509995,,0,,414,63,414,,0,,,0,
30,574.0390499999999,538.5457999999999,609.5323000000003,21,0.9993909810509995,,0,,188,63,188,,0,,,0,
31,637.0319999999997,593.4501999999998,680.6138000000001,21,0.9993909810509995,,0,,92,63,92,,0,,,0,
32,712.9605999999999,664.6471000000001,761.2741000000001,21,0.9993909810509995,,0,,41,63,41,,0,,,0,
33,786.5421499999998,745.1558999999997,827.9284000000002,21,0.9993909810509995,,0,,29,63,29,,0,,,0,
34,852.50405,811.8575000000001,893.1505999999999,21,0.9993909810509995,,0,,25,63,25,,0,,,0,
35,901.8215,877.0135999999998,926.6294000000003,21,0.9993909810509995,,0,,24,64,24,,0,,,0,
36,933.16905,910.5628999999999,955.7752,21,0.9993909810509995,,0,,24,64,24,,0,,,0,
37,963.6848500000001,939.7498,987.6199000000001,21,0.9993909810509995,,0,,24,64,24,,0,,,0,
38,994.2150500000002,971.5095000000001,1016.9205999999999,21,0.9993909810509995,,0,,24,64,24,,0,,,0,
39,1020.9982000000005,1000.9072000000001,1041.0892,21,0.9993909810509995,,0,,24,64,24,,0,,,0,
40,1049.55035,1025.0011,1074.0996,21,0.9993909810509995,,0,,24,64,24,,0,,,0,
41,1080.41395,1057.9406,1102.8872999999999,21,0.9993909810509995,,0,,24,64,24,,0,,,0,
42,1132.8516000000004,1086.7323999999999,1178.9708,21,0.9993909810509995,,0,,24,64,24,,0,,,0,
43,1192.0963500000003,1163.0178,1221.1749,21,0.9993909810509995,,0,,24,64,24,,0,,,0,
44,1243.1893,1205.1844999999998,1281.1941000000002,21,0.9993909810509995,,0,,24,64,24,,0,,,0,
45,1301.0450500000002,1265.2815999999998,1336.8084999999996,21,0.9993909810509995,,0,,24,64,24,,0,,,0,
46,1362.1403999999998,1320.7691999999997,1403.5116000000003,21,0.9993909810509995,,0,,24,64,24,,0,,,0,
