frame,t_ms,interval_start_ms,interval_end_ms,header_second_x,header_correlation,marker_0_x,marker_0_visible_width,bar_0_x,marker_1_x,marker_1_visible_width,bar_1_x,marker_2_x,marker_2_visible_width,bar_2_x,marker_3_x,marker_3_visible_width,bar_3_x
0,-763.1362,-799.5970000000001,-724.1466,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
1,-722.7252500000001,-745.2416000000001,-697.6801,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
2,-692.3760500000001,-718.8142000000001,-663.4091,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
3,-663.2415500000001,-684.6972000000001,-639.2571,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
4,-635.2717500000001,-660.5879000000001,-607.4268,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
5,-603.4298000000001,-628.6755,-575.6553,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
6,-574.0679500000001,-596.9373,-548.6698,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
7,-543.2320500000001,-569.7966000000001,-514.1387,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
8,-513.4588500000001,-535.2059000000002,-489.183,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
9,-485.1567500000001,-510.51610000000005,-457.2686000000001,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
10,-454.4852000000001,-478.59870000000024,-427.8428999999999,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
11,-424.7224000000001,-449.1192000000001,-397.7968000000001,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
12,-393.34114999999997,-418.9671000000001,-365.18640000000005,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
13,-362.8434500000001,-386.2927000000002,-336.8653999999999,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
14,-334.5926000000002,-358.18640000000005,-308.47,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
15,-305.09925,-329.7982000000002,-277.87149999999997,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
16,-273.02955,-299.2012000000002,-244.32910000000015,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
17,-243.06730000000016,-265.65610000000015,-217.9496999999999,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
18,-214.4493,-239.08960000000002,-187.28019999999992,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
19,-185.36450000000013,-208.60840000000007,-159.59179999999992,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
20,-153.69100000000003,-180.9190000000001,-123.93419999999992,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
21,-121.08805000000007,-145.18270000000007,-94.46460000000002,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
22,-92.6087,-115.78930000000014,-66.89930000000004,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
23,-63.40035000000012,-88.10850000000005,-36.16340000000014,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
24,-33.749300000000176,-57.386900000000196,-7.582900000000109,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
25,-4.623500000000149,-28.79079999999999,22.072599999999966,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
26,27.08499999999981,0.7473999999999705,55.95140000000015,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
27,59.97214999999983,34.62940000000003,87.84370000000013,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
28,95.98994999999991,66.52679999999987,127.9819,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
29,132.21544999999992,106.71170000000006,160.24800000000005,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
30,169.4828,138.93509999999992,202.55930000000012,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
