frame,t_ms,interval_start_ms,interval_end_ms,header_second_x,header_correlation,marker_0_x,marker_0_visible_width,bar_0_x,marker_1_x,marker_1_visible_width,bar_1_x,marker_2_x,marker_2_visible_width,bar_2_x,marker_3_x,marker_3_visible_width,bar_3_x
0,-755.9521,-787.7880999999999,-720.3421,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
1,-715.1183,-739.5294999999999,-686.9331,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
2,-683.5079,-706.2190999999999,-657.0226999999999,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
3,-654.1273,-676.3078999999999,-628.1726999999998,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
4,-625.19025,-647.3059999999999,-599.3004999999999,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
5,-595.6408,-618.5867999999999,-568.9207999999999,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
6,-564.41355,-588.0763,-536.9767999999999,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
7,-533.9147,-556.2630999999999,-507.79229999999984,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
8,-503.3299999999999,-527.079,-475.807,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
9,-475.0179499999999,-494.89239999999995,-451.3695,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
10,-447.4125999999999,-470.6549,-420.3962999999999,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
11,-415.5577999999998,-439.5579,-387.78369999999995,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
12,-383.32444999999984,-406.92989999999986,-355.94499999999994,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
13,-354.1144999999999,-375.2308999999998,-329.2240999999999,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
14,-326.78215,-348.2827,-301.5075999999999,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
15,-296.4779000000001,-320.7966999999999,-268.38509999999997,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
16,-265.51464999999985,-287.6696999999999,-239.58559999999989,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
17,-235.336,-258.86869999999976,-208.02929999999992,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
18,-203.29514999999992,-227.31400000000008,-175.50229999999988,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
19,-173.39194999999995,-194.66299999999978,-148.34689999999978,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
20,-144.35259999999994,-167.52699999999982,-117.40419999999995,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
21,-115.02704999999992,-136.67439999999988,-89.60569999999984,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
22,-85.65004999999996,-108.88709999999992,-58.638999999999896,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
23,-52.89265,-77.91099999999983,-24.100299999999834,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
24,-22.999900000000025,-43.25879999999984,1.0330000000001291,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
25,5.382350000000088,-18.157799999999952,32.69650000000024,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
26,35.69335000000001,13.41450000000009,61.746200000000044,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
27,65.83985000000007,42.468000000000075,92.98569999999995,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
28,106.71755000000007,73.70910000000003,143.50000000000023,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
29,151.93145000000004,124.36400000000003,183.27290000000016,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
30,203.66745000000014,163.99630000000002,247.11260000000016,153,0.9781562415371887,,59,-5,,0,,,0,,,0,
