frame,t_ms,interval_start_ms,interval_end_ms,header_second_x,header_correlation,marker_0_x,marker_0_visible_width,bar_0_x,marker_1_x,marker_1_visible_width,bar_1_x,marker_2_x,marker_2_visible_width,bar_2_x,marker_3_x,marker_3_visible_width,bar_3_x
0,-781.93845,-804.5359,-754.676,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
1,-747.6452999999999,-763.8806000000001,-726.745,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
2,-714.213,-736.2265,-687.5345,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
3,-674.28815,-696.8714,-647.0399,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
4,-633.4395,-656.4393,-605.7747,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
5,-597.44085,-615.1571,-575.0596,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
6,-567.0973999999999,-584.5026,-545.0272,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
7,-535.4496499999999,-554.3733,-511.861,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
8,-497.73384999999996,-521.2213,-469.58140000000003,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
9,-460.663,-478.942,-437.71900000000005,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
10,-419.41595000000007,-447.1192000000001,-387.0477000000001,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
11,-377.15774999999985,-396.44370000000004,-353.20679999999993,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
12,-344.25299999999993,-362.6068,-321.2341999999999,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
13,-311.31954999999994,-330.71849999999995,-287.25559999999996,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
14,-273.08320000000003,-296.6087,-244.89269999999988,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
15,-237.41404999999986,-254.29070000000002,-215.87239999999997,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
16,-207.50334999999995,-225.28330000000005,-185.0583999999999,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
17,-176.88290000000006,-194.45510000000013,-154.64570000000003,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
18,-143.82224999999994,-164.02750000000015,-118.952,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
19,-106.31914999999981,-128.35770000000002,-79.61560000000009,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
20,-70.55490000000009,-88.99290000000019,-47.45190000000002,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
21,-31.816550000000007,-56.71569999999997,-2.2523999999998523,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
22,15.337950000000092,-11.638599999999997,46.979499999999916,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
23,65.88155000000006,37.5625,98.86560000000009,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
24,117.77185000000009,89.50749999999994,150.70119999999997,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
25,165.24085000000014,141.4004,193.74630000000002,158,1.0000000000000002,,24,-40,,0,,,0,,,0,
26,216.5,184.37059999999997,253.2944,124,0.9963768095428904,,0,-154,,0,,,0,,,0,
27,276.73070000000007,243.89609999999993,314.23029999999994,133,0.9905489419562626,,10,-54,,0,,,0,,,0,
28,338.3008,304.7910999999999,376.4755,142,0.9963887130958664,,56,-8,,0,,,0,,,0,
29,396.4820500000001,367.18370000000004,430.44540000000006,150,0.996385056499536,12,63,12,,0,,,0,,,0,
30,459.91544999999996,421.05819999999994,503.43769999999995,157,0.9997820552163652,20,63,20,,0,,,0,,,0,
31,532.3142000000003,494.06550000000016,575.2278999999999,158,1.0000000000000002,24,63,24,,0,,,0,,,0,
32,600.7303499999998,565.8391000000001,640.2865999999999,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
33,648.614,630.9279999999999,670.9650000000001,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
34,677.9623499999998,661.5592999999999,699.0303999999996,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
35,707.8976499999999,689.6860999999999,730.7741999999998,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
36,737.9137000000001,721.3400000000001,759.1524,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
37,769.73045,749.7451000000001,794.3807999999999,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
38,808.7419500000001,784.9065999999998,837.2422999999999,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
39,852.6438499999999,827.8842,882.0685000000003,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
40,900.0823500000001,872.6552999999999,932.1743999999999,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
41,943.8986,922.9214000000002,969.5407999999998,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
42,976.58185,960.2420999999999,997.5866000000001,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
43,1007.0008499999999,988.1601,1030.5065999999997,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
44,1037.681,1021.1113,1058.9157,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
45,1068.6641,1049.4422,1092.551,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
46,1110.2267499999998,1083.1095,1142.009,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
47,1155.2397,1132.5933,1182.5510999999997,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
48,1199.8804,1173.1810999999998,1231.2447000000002,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
49,1247.22935,1221.8217,1277.3020000000001,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
50,1296.5171500000001,1267.8712,1329.8281000000002,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
51,1338.9501499999997,1320.3916999999997,1362.1736,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
52,1378.2570500000002,1352.7561999999998,1408.4229,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
53,1420.75655,1398.9924999999998,1447.1855999999998,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
54,1459.1887500000003,1437.7597,1485.2828,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
