frame,t_ms,interval_start_ms,interval_end_ms,header_second_x,header_correlation,marker_0_x,marker_0_visible_width,bar_0_x,marker_1_x,marker_1_visible_width,bar_1_x,marker_2_x,marker_2_visible_width,bar_2_x,marker_3_x,marker_3_visible_width,bar_3_x
0,-812.0174,-835.0863,-788.9485,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
1,-749.44895,-772.59,-726.3078999999999,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
2,-719.13405,-738.898,-699.3701,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
3,-691.29925,-711.9602,-670.6383,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
4,-661.0948000000001,-683.2379000000001,-638.9517,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
5,-630.67855,-651.5463,-609.8108,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
6,-601.34245,-622.4066,-580.2783,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
7,-568.4918,-592.839,-544.1446,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
8,-531.0467000000001,-556.7406000000001,-505.3527999999999,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
9,-495.9213,-517.9472000000001,-473.8953999999999,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
10,-466.5569499999999,-486.49469999999997,-446.61919999999986,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
11,-435.81780000000003,-458.9746,-412.66099999999983,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
12,-406.0782999999999,-425.25739999999996,-386.89920000000006,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
13,-376.4076,-399.3819000000001,-353.4332999999999,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
14,-345.9939999999999,-365.9905000000001,-325.99749999999995,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
15,-314.7711499999998,-338.4595999999999,-291.08269999999993,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
16,-281.60580000000004,-303.5883000000001,-259.6233,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
17,-253.60299999999984,-272.2203999999999,-234.98559999999998,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
18,-226.1486,-247.28430000000003,-205.01289999999995,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
19,-196.54020000000014,-217.52600000000007,-175.5544,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
20,-152.94595000000004,-188.14750000000004,-117.74439999999981,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
21,-104.72525000000019,-130.14660000000003,-79.30390000000011,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
22,-71.41094999999996,-91.76260000000002,-51.059299999999894,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
23,-41.675250000000005,-63.50459999999998,-19.84590000000003,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
24,-12.531099999999924,-32.305000000000064,7.242800000000216,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
25,15.672650000000203,-5.253199999999879,36.59850000000006,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
26,44.825000000000045,24.195799999999963,65.4541999999999,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
27,74.08024999999998,53.002899999999954,95.1576,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
28,104.80084999999985,82.66239999999993,126.9393,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
29,150.40305000000012,114.35089999999991,186.4552000000001,145,0.9924188644494821,,0,-98,,0,,,0,,,0,
30,210.78224999999998,174.0709999999999,247.49350000000004,108,0.9975549183987577,,0,-305,,0,,,0,,,0,
31,272.38159999999993,234.9973,309.7659000000001,75,0.9877754117196341,,0,-393,,0,,,0,,,0,
32,334.3033499999999,297.2612999999999,371.34540000000015,44,0.9996716155075529,,0,,,0,,,0,,,0,
33,392.0112499999998,358.97939999999994,425.0431000000001,21,0.9993909810509995,,0,,,0,,,0,,,0,
34,464.4408000000001,412.43859999999995,516.443,21,0.9993909810509995,,0,,,0,,,0,,,0,
35,554.5456999999999,503.9174999999998,605.1739,21,0.9993909810509995,,0,,329,63,329,,0,,,0,
36,626.5107999999998,592.7477999999999,660.2738000000002,21,0.9993909810509995,,0,,121,63,121,,0,,,0,
37,679.6822500000001,647.7571,711.6074000000001,21,0.9993909810509995,,0,,65,63,65,,0,,,0,
38,736.8817499999998,699.1380000000001,774.6255000000003,21,0.9993909810509995,,0,,40,63,40,,0,,,0,
39,799.31845,762.1588999999997,836.4780000000003,21,0.9993909810509995,,0,,29,63,29,,0,,,0,
40,856.72695,824.0332000000001,889.4206999999999,21,0.9993909810509995,,0,,25,63,25,,0,,,0,
41,907.3662499999998,876.9066999999998,937.8257999999998,21,0.9993909810509995,,0,,24,64,24,,0,,,0,
42,946.8288500000001,925.2366,968.4210999999998,21,0.9993909810509995,,0,,24,64,24,,0,,,0,
43,974.9249499999999,955.8400999999997,994.0098,21,0.9993909810509995,,0,,24,64,24,,0,,,0,
44,1003.8198,981.5221999999997,1026.1174000000003,21,0.9993909810509995,,0,,24,64,24,,0,,,0,
45,1034.7178999999999,1013.5256999999999,1055.9101000000003,21,0.9993909810509995,,0,,24,64,24,,0,,,0,
46,1065.4442000000001,1043.318,1087.5703999999998,21,0.9993909810509995,,0,,24,64,24,,0,,,0,
47,1097.8709000000001,1075.2441999999999,1120.4976,21,0.9993909810509995,,0,,24,64,24,,0,,,0,
48,1125.68555,1107.9124999999997,1143.4586000000002,21,0.9993909810509995,,0,,24,64,24,,0,,,0,
49,1152.6424999999997,1130.861,1174.4240000000002,21,0.9993909810509995,,0,,24,64,24,,0,,,0,
50,1185.37695,1161.8305000000003,1208.9234,21,0.9993909810509995,,0,,24,64,24,,0,,,0,
51,1217.4866,1196.4627000000003,1238.5104999999996,21,0.9993909810509995,,0,,24,64,24,,0,,,0,
52,1247.7902499999998,1226.0026999999998,1269.5778000000003,21,0.9993909810509995,,0,,24,64,24,,0,,,0,
53,1276.4048999999998,1256.9936999999998,1295.8161000000002,21,0.9993909810509995,,0,,24,64,24,,0,,,0,
54,1303.7238499999996,1283.2198,1324.2279,21,0.9993909810509995,,0,,24,64,24,,0,,,0,
55,1335.01625,1311.6357,1358.3967999999998,21,0.9993909810509995,,0,,24,64,24,,0,,,0,
