frame,t_ms,interval_start_ms,interval_end_ms,header_second_x,header_correlation,marker_0_x,marker_0_visible_width,bar_0_x,marker_1_x,marker_1_visible_width,bar_1_x,marker_2_x,marker_2_visible_width,bar_2_x,marker_3_x,marker_3_visible_width,bar_3_x
0,-716.8250999999999,-765.5831000000001,-668.0671,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
1,-658.2143,-672.4413000000001,-643.9873,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
2,-631.0993,-648.6314,-613.5672,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
3,-602.4905999999999,-618.2033,-586.7778999999999,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
4,-573.9128,-591.2644,-556.5612,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
5,-533.3055499999999,-561.1675,-505.44359999999995,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
6,-494.31489999999997,-509.89610000000005,-478.7337,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
7,-466.51289999999995,-483.28830000000016,-449.73749999999995,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
8,-436.4912999999999,-454.3738000000001,-418.6088,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
9,-400.4111499999999,-423.2397000000001,-377.58259999999996,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
10,-364.1305,-382.1428000000001,-346.1181999999999,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
11,-323.33939999999984,-350.7604000000001,-295.9184,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
12,-284.5650499999999,-300.4611,-268.66899999999987,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
13,-245.01530000000002,-273.3113000000001,-216.71929999999998,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
14,-200.16784999999982,-221.3352,-179.0005000000001,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
15,-166.52424999999994,-183.64200000000005,-149.40650000000005,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
16,-137.17000000000007,-153.92779999999993,-120.41219999999998,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
17,-104.7654,-124.86410000000001,-84.66669999999999,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
18,-76.25919999999996,-89.17910000000006,-63.339300000000094,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
19,-47.922349999999824,-67.85480000000007,-27.989900000000034,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
20,-17.15715,-32.5590000000002,-1.7552999999998065,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
21,11.333599999999933,-6.269400000000132,28.9366,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
22,59.34075000000007,24.495799999999917,94.1857,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
23,112.94485000000009,89.70910000000003,136.18060000000014,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
24,179.19894999999997,131.62339999999995,226.7745,,0.49056282679797264,,0,-164,,0,,,0,,,0,
25,264.55485,222.29070000000002,306.81899999999996,,0.4954442766812852,,0,-376,,0,,,0,,,0,
26,332.28385000000003,302.25689999999986,362.3108,,0.33885814510238943,,0,,,0,,,0,,,0,
27,397.63560000000007,357.7968000000001,437.47440000000006,,0.3659712614241743,,0,,,0,,,0,,,0,
28,467.5870500000001,432.82569999999987,502.3484000000001,,0.3659712614241743,,0,,,0,,,0,,,0,
29,527.7116000000001,497.75070000000005,557.6725000000001,,0.3659712614241743,,0,,,0,,284,63,284,,0,
30,588.0684499999998,553.0805999999998,623.0563000000002,,0.3659712614241743,,0,,,0,,133,63,133,,0,
31,657.0225,618.4159,695.6291000000001,,0.3659712614241743,,0,,,0,,67,63,67,,0,
32,722.70255,691.1143000000002,754.2907999999998,,0.3659712614241743,,0,,,0,,37,63,37,,0,
33,795.0196999999998,749.7262999999998,840.3131000000003,,0.3659712614241743,,0,,,0,,28,63,28,,0,
34,870.6468000000004,835.8004999999998,905.4931000000001,,0.3659712614241743,,0,,,0,,24,64,24,,0,
35,916.5136000000002,900.942,932.0852,,0.3659712614241743,,0,,,0,,24,64,24,,0,
36,944.7691500000001,927.4776999999999,962.0605999999998,,0.3659712614241743,,0,,,0,,24,64,24,,0,
37,974.8923500000001,957.5731000000001,992.2116000000001,,0.3659712614241743,,0,,,0,,24,64,24,,0,
38,1003.3425500000003,987.8878,1018.7973000000002,,0.3659712614241743,,0,,,0,,24,64,24,,0,
39,1032.2938000000004,1014.1572000000001,1050.4304000000002,,0.3659712614241743,,0,,,0,,24,64,24,,0,
40,1065.1334500000003,1045.792,1084.4749000000002,,0.3659712614241743,,0,,,0,,24,64,24,,0,
41,1108.3318,1079.8355000000001,1136.8280999999997,,0.3659712614241743,,0,,,0,,24,64,24,,0,
42,1152.0855000000001,1132.281,1171.8900000000003,,0.3659712614241743,,0,,,0,,24,64,24,,0,
43,1184.2445500000003,1167.3296,1201.1594999999998,,0.3659712614241743,,0,,,0,,24,64,24,,0,
44,1214.6853499999997,1196.5572000000002,1232.8135000000002,,0.3659712614241743,,0,,,0,,24,64,24,,0,
45,1247.0064000000002,1228.1759000000002,1265.8369000000002,,0.3659712614241743,,0,,,0,,24,64,24,,0,
46,1274.8206,1261.2489999999998,1288.3922000000002,,0.3659712614241743,,0,,,0,,24,64,24,,0,
47,1315.34955,1283.7948999999999,1346.9042,,0.3659712614241743,,0,,,0,,24,64,24,,0,
48,1372.8246,1342.4108999999999,1403.2383,,0.3659712614241743,,0,,,0,,24,64,24,,0,
