frame,t_ms,interval_start_ms,interval_end_ms,header_second_x,header_correlation,marker_0_x,marker_0_visible_width,bar_0_x,marker_1_x,marker_1_visible_width,bar_1_x,marker_2_x,marker_2_visible_width,bar_2_x,marker_3_x,marker_3_visible_width,bar_3_x
0,-725.53195,-773.002,-674.3579,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
1,-669.9954500000001,-691.4823,-644.8045999999999,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
2,-642.1259500000001,-662.1471,-618.4008,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
3,-603.5432500000001,-635.68,-567.7025,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
4,-554.6736500000001,-584.9344,-520.7089,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
5,-510.95540000000005,-537.9236,-480.28319999999997,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
6,-477.79865000000007,-497.5172,-454.37609999999995,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
7,-450.05145000000005,-471.7475999999999,-424.6513,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
8,-420.78780000000006,-442.0244,-395.84719999999993,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
9,-390.1125000000002,-413.07490000000007,-363.4461000000001,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
10,-360.7623000000001,-380.69810000000007,-337.12249999999995,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
11,-331.72225000000003,-354.4922999999999,-305.2482,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
12,-298.4819000000002,-322.47759999999994,-270.7822000000001,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
13,-268.77385000000004,-288.0309,-245.81279999999992,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
14,-241.06760000000008,-262.8890000000001,-215.54219999999987,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
15,-210.98220000000015,-232.91629999999986,-185.34410000000003,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
16,-180.5925000000002,-202.58559999999989,-154.89539999999988,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
17,-150.04575,-172.14879999999994,-124.23869999999988,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
18,-117.73000000000002,-141.41499999999996,-90.3409999999999,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
19,-88.91015000000016,-107.67139999999995,-66.44489999999996,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
20,-61.04840000000013,-83.7346,-34.65819999999985,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
21,-29.40300000000002,-52.03269999999998,-3.069300000000112,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
22,9.732849999999871,-20.382499999999936,43.552200000000084,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
23,54.056299999999965,26.318899999999985,85.4976999999999,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
24,96.12864999999988,68.16609999999991,127.79520000000002,158,1.0000000000000002,,1,-63,,0,,,0,,,0,
25,135.71724999999992,110.41960000000017,164.71889999999985,158,1.0000000000000002,,1,-63,,0,,,0,,,0,
26,183.63905,147.3415,223.64060000000018,127,0.981818677934722,,0,-173,,0,,,0,,,0,
27,233.93484999999987,206.4049,265.1687999999999,127,0.981818677934722,,0,-173,,0,,,0,,,0,
28,296.9350999999999,247.85310000000004,349.7211,97,0.9866348711385078,,0,-342,,0,,,0,,,0,
29,376.74514999999974,332.43319999999994,424.76109999999994,68,0.9775415206195089,,0,-412,,0,,,0,,,0,
30,452.1384499999999,407.76070000000004,500.2202,31,0.9983694620354715,,0,,,0,,,0,,,0,
31,514.4609499999999,482.97710000000006,549.6487999999999,21,0.9993909810509995,,0,,,0,-347,,0,,,0,
32,575.4620999999997,532.3427999999999,622.2854000000002,51,0.9883253700996659,,0,,386,63,386,,0,,,0,
33,651.2455999999997,605.1682999999998,701.0269000000003,56,0.9823456694635013,,0,,406,63,406,,0,,,0,
34,730.4933999999998,683.7145999999998,780.9762000000001,56,0.9823456694635013,,0,,406,63,406,,0,,,0,
35,811.1722,763.6722999999997,862.3761,56,0.9823456694635013,,0,,406,63,406,,0,,,0,
36,876.4396499999998,845.1155000000003,911.4677999999999,56,0.9823456694635013,,0,,406,63,406,,0,,,0,
37,948.5747499999998,894.1552999999999,1006.6982000000003,56,0.9823456694635013,,0,,406,63,406,,0,,,0,
38,1034.3252499999999,989.5355999999997,1082.8188999999998,56,0.9823456694635013,,0,,406,63,406,,0,,,0,
39,1096.8485999999998,1065.6097999999997,1131.7914,56,0.9823456694635013,,0,,406,63,406,,0,,,0,
40,1144.5522999999998,1114.6378,1178.1708000000003,56,0.9823456694635013,,0,,406,63,406,,0,,,0,
41,1196.3732999999997,1161.0003000000002,1235.4503,56,0.9823456694635013,,0,,406,63,406,,0,,,0,
42,1240.8831500000001,1218.1727,1267.2976000000003,56,0.9823456694635013,,0,,406,63,406,,0,,,0,
43,1271.6601500000002,1249.9788000000003,1297.0454999999997,56,0.9823456694635013,,0,,406,63,406,,0,,,0,
44,1303.7447499999998,1279.7229000000002,1331.4706,56,0.9823456694635013,,0,,406,63,406,,0,,,0,
45,1334.6327499999998,1314.1740999999997,1358.7954000000004,56,0.9823456694635013,,0,,406,63,406,,0,,,0,
46,1364.0186999999996,1341.5058999999997,1390.2355000000002,56,0.9823456694635013,,0,,406,63,406,,0,,,0,
47,1411.0082499999999,1373.0238000000004,1452.6967,56,0.9823456694635013,,0,,406,63,406,,0,,,0,
48,1456.5430999999999,1435.4379999999996,1481.3521999999998,56,0.9823456694635013,,0,,406,63,406,,0,,,0,
49,1497.5418,1464.0693999999999,1534.7181999999998,56,0.9823456694635013,,0,,406,63,406,,0,,,0,
50,1544.9292,1517.5247000000004,1576.0377000000003,56,0.9823456694635013,,0,,406,63,406,,0,,,0,
51,1586.1014999999998,1558.8563,1617.0507000000002,56,0.9823456694635013,,0,,406,63,406,,0,,,0,
52,1623.62135,1599.8157999999999,1651.1308999999997,56,0.9823456694635013,,0,,406,63,406,,0,,,0,
53,1661.8262,1633.8587000000002,1693.4977000000003,56,0.9823456694635013,,0,,406,63,406,,0,,,0,
54,1695.1361499999998,1676.2269000000001,1717.7494000000002,56,0.9823456694635013,,0,,406,63,406,,0,,,0,
55,1723.2930999999999,1700.3933000000002,1749.8969000000002,56,0.9823456694635013,,0,,406,63,406,,0,,,0,
56,1753.68325,1732.6853999999998,1778.3851,56,0.9823456694635013,,0,,406,63,406,,0,,,0,
57,1784.1458000000002,1761.0173,1810.9783000000002,56,0.9823456694635013,,0,,406,63,406,,0,,,0,
58,1817.2917499999999,1793.7562999999996,1844.5312,56,0.9823456694635013,,0,,406,63,406,,0,,,0,
59,1845.1787999999997,1827.2538,1866.8078,56,0.9823456694635013,,0,,406,63,406,,0,,,0,
60,1873.2374,1849.5492,1900.6295999999998,56,0.9823456694635013,,0,,406,63,406,,0,,,0,
61,1903.4223999999995,1883.2571999999996,1927.2916,56,0.9823456694635013,,0,,406,63,406,,0,,,0,
62,1934.7568499999998,1910.0260000000003,1963.1916999999999,56,0.9823456694635013,,0,,406,63,406,,0,,,0,
