frame,t_ms,interval_start_ms,interval_end_ms,header_second_x,header_correlation,marker_0_x,marker_0_visible_width,bar_0_x,marker_1_x,marker_1_visible_width,bar_1_x,marker_2_x,marker_2_visible_width,bar_2_x,marker_3_x,marker_3_visible_width,bar_3_x
0,-752.0540000000001,-792.0591000000001,-717.9752000000001,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
1,-703.1659000000001,-731.1759000000001,-681.0822000000001,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
2,-663.5055000000001,-694.4082000000001,-638.5291,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
3,-614.38935,-651.8140000000001,-582.8910000000001,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
4,-568.0928000000001,-596.1925000000001,-545.9194,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
5,-526.79875,-559.2669000000001,-500.2569000000001,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
6,-482.9992000000001,-513.5542,-458.3705,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
7,-435.5137500000001,-471.71050000000014,-405.2433000000001,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
8,-388.7808,-418.5259000000001,-364.962,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
9,-348.91730000000007,-378.2982999999999,-325.46260000000007,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
10,-307.11490000000003,-338.7972,-281.35889999999995,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
11,-267.94820000000004,-294.6929,-247.12980000000016,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
12,-229.71915000000013,-260.43090000000007,-204.93370000000004,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
13,-181.0309000000002,-218.2220000000002,-149.76610000000005,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
14,-133.4846500000001,-163.05279999999993,-109.8427999999999,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
15,-90.0943000000002,-123.19260000000008,-62.92230000000018,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
16,-41.371700000000146,-76.22890000000007,-12.440800000000081,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
17,11.90684999999985,-25.713000000000193,43.60039999999981,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
18,71.48599999999988,30.25559999999996,106.79009999999994,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
19,136.33195,93.51909999999998,173.21849999999995,158,1.0000000000000002,114,64,114,,0,,,0,,,0,
20,194.66499999999996,159.94819999999982,223.45550000000003,158,1.0000000000000002,114,64,114,,0,,,0,,,0,
21,256.13030000000003,210.1332,296.2011,236,0.979313841256518,288,64,288,,0,,,0,,,0,
22,318.3288499999999,283.00019999999995,347.73119999999994,236,0.979313841256518,288,64,288,,0,,,0,,,0,
23,379.01649999999995,334.47969999999987,417.62699999999995,,0.42002827606536647,414,63,414,,0,,,0,,,0,
24,453.08860000000004,404.37199999999984,495.87889999999993,,0.42705493203762956,,12,468,,0,,,0,,,0,
25,529.0161499999999,482.5850999999998,569.5209,,0.40006186526483695,,0,,,0,,,0,,,0,
26,595.7727,556.3020999999999,629.317,,0.39107567606456595,,0,,,0,,,0,,,0,
27,657.8645999999999,616.1781999999998,693.6247000000003,,0.39107567606456595,,0,,,0,,,0,,,0,
28,725.3422499999997,680.2727,764.4854999999998,,0.39107567606456595,,0,,,0,,,0,,,0,-241
29,788.1779999999999,751.3006999999998,819.1289999999999,,0.39107567606456595,,0,,,0,,,0,,,0,-82
30,848.8854499999998,805.8271,886.0174999999999,,0.39107567606456595,,0,,,0,,,0,,,43,-21
31,910.6035999999999,872.7264999999998,942.5544,,0.39107567606456595,,0,,,0,,,0,,8,63,8
32,971.68995,929.5373,1007.9162999999999,,0.39107567606456595,,0,,,0,,,0,,19,63,19
33,1039.00875,994.6133999999997,1077.4777999999997,,0.39107567606456595,,0,,,0,,,0,,24,64,24
34,1092.78885,1064.2943999999998,1115.357,,0.39107567606456595,,0,,,0,,,0,,24,64,24
35,1128.8557,1102.0567,1149.7284,,0.39107567606456595,,0,,,0,,,0,,24,64,24
36,1167.0837000000001,1136.4359,1191.8051999999998,,0.39107567606456595,,0,,,0,,,0,,24,64,24
37,1211.8211999999999,1178.5461999999998,1239.1698999999999,,0.39107567606456595,,0,,,0,,,0,,24,64,24
38,1257.7593499999998,1225.8523999999998,1283.7399999999998,,0.39107567606456595,,0,,,0,,,0,,24,64,24
39,1302.4924999999998,1270.4565000000002,1328.6022000000003,,0.39107567606456595,,0,,,0,,,0,,24,64,24
40,1348.6632,1315.3098,1376.0902999999998,,0.39107567606456595,,0,,,0,,,0,,24,64,24
41,1395.3858500000001,1362.9121,1421.9332999999997,,0.39107567606456595,,0,,,0,,,0,,24,64,24
42,1442.7752999999998,1408.5859,1471.0384000000004,,0.39107567606456595,,0,,,0,,,0,,24,64,24
43,1485.4809499999997,1457.7349,1507.3006999999998,,0.39107567606456595,,0,,,0,,,0,,24,64,24
44,1526.9388999999996,1493.9566,1553.9948999999997,,0.39107567606456595,,0,,,0,,,0,,24,64,24
