frame,t_ms,interval_start_ms,interval_end_ms,header_second_x,header_correlation,marker_0_x,marker_0_visible_width,bar_0_x,marker_1_x,marker_1_visible_width,bar_1_x,marker_2_x,marker_2_visible_width,bar_2_x,marker_3_x,marker_3_visible_width,bar_3_x
0,-818.2601999999999,-871.2810999999998,-763.0008,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
1,-726.8149,-753.8576999999998,-697.5336,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
2,-686.3128499999999,-718.0456999999998,-652.3415,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
3,-637.95845,-672.7830999999999,-600.8953,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
4,-589.9737499999999,-621.3558999999998,-556.3531,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
5,-553.8705,-576.9369999999999,-528.5654999999999,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
6,-524.9372999999998,-549.1653999999999,-498.4707000000001,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
7,-498.62275,-519.021,-475.9860000000001,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
8,-471.95024999999987,-496.55129999999986,-445.11069999999995,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
9,-440.99700000000007,-465.67999999999984,-414.07550000000015,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
10,-409.0613999999998,-434.6573999999998,-381.2268999999999,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
11,-377.13654999999994,-401.7716999999998,-350.26289999999995,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
12,-349.28790000000004,-370.81939999999986,-325.51790000000005,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
13,-309.46434999999997,-346.07359999999994,-270.61660000000006,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
14,-259.1171999999999,-291.05979999999977,-224.93610000000012,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
15,-213.89110000000005,-245.4328999999998,-180.11080000000015,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
16,-172.14094999999998,-200.7067999999997,-141.33659999999986,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
17,-137.08074999999985,-161.9161999999999,-110.00679999999988,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
18,-106.54575,-130.59359999999992,-80.25940000000014,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
19,-73.16120000000001,-100.82369999999969,-43.26019999999994,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
20,-37.00045,-63.81959999999981,-7.942800000000034,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
21,-3.173999999999978,-28.542599999999766,24.433099999999968,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
22,28.049650000000156,3.8412000000000717,54.496599999999944,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
23,58.84015000000022,33.91170000000034,86.00710000000004,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
24,99.91710000000012,65.46000000000026,136.6126999999999,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
25,144.60310000000004,116.11640000000011,175.3282999999999,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
26,191.34620000000018,154.7220000000002,230.20889999999986,155,0.9972570507565206,,49,-15,,0,,,0,,,0,
27,237.71055,209.66520000000014,267.9943999999998,155,0.9972570507565206,,49,-15,,0,,,0,,,0,
28,284.4552500000002,247.4032000000002,323.7457999999999,143,0.9800139193064027,,6,-58,,0,,,0,,,0,
29,329.95515,303.1523000000002,358.99649999999997,143,0.9800139193064027,,6,-58,,0,,,0,,,0,
30,368.4064500000002,338.3906000000002,400.6607999999999,137,0.9806791176607362,,0,-79,,0,,,0,,,0,
31,405.83900000000017,380.08590000000027,433.8306,137,0.9806791176607362,,0,-79,,0,,,0,,,0,
32,449.4606000000001,413.30820000000017,487.8515,121,0.9816172050787286,,0,-135,,0,,,0,,,0,
33,492.3547500000002,467.2981000000002,519.6499000000001,121,0.9816172050787286,,0,-135,,0,,,0,,,0,
34,523.3670500000001,499.0803000000003,549.8923000000002,114,0.9864674705034773,,0,-157,,0,,,0,,,0,
35,560.63815,529.3997000000002,594.1151000000002,111,0.9978109866351632,,0,-169,,0,,,0,,,0,
36,613.3670500000001,573.6537000000001,655.3189,104,0.9862377243525215,,0,-192,,0,,,0,,,0,
37,668.0926999999999,634.7428000000002,703.6811,104,0.9862377243525215,,0,-192,,0,,,0,,,0,
38,712.5881500000003,683.1092999999998,744.3055000000002,96,0.9850372911513317,,0,-220,,0,,,0,,,0,
39,761.8797000000002,723.8334000000002,802.1645000000001,84,0.9981227538846782,,0,-263,,0,,,0,,,0,
40,809.0353499999999,781.6101000000001,838.6991,84,0.9981227538846782,,0,-263,,0,,,0,,,0,
41,851.3772999999999,818.1106000000002,886.8824999999999,75,0.9984720185485584,,0,-295,,0,,,0,,,0,
42,893.1137000000001,866.3567,922.1092000000001,75,0.9984720185485584,,0,-295,,0,,,0,,,0,
43,942.8706500000001,901.5179000000005,986.4619,67,0.9896991807633978,,0,-369,,0,,,0,,,0,
44,1002.4113500000001,965.8858000000002,1041.1753999999999,53,0.9862570664453644,,0,-419,,0,,,0,,,0,
45,1063.52685,1020.5274999999999,1108.7647,40,0.9888890960453871,,0,,,0,,,0,,,0,
46,1125.2641,1088.1547000000003,1164.6119999999999,28,0.9937736417172842,,0,,,0,,,0,,,0,
47,1183.1564999999998,1144.0818000000002,1224.4696999999999,21,0.9993909810509995,,0,,,0,,,0,,,0,
48,1246.8212500000002,1203.8633000000002,1292.0177,21,0.9993909810509995,,0,,,0,,,0,,,0,
49,1313.5347,1271.4626,1357.8452999999997,21,0.9993909810509995,,0,,228,63,228,,0,,,0,
