frame,t_ms,interval_start_ms,interval_end_ms,header_second_x,header_correlation,marker_0_x,marker_0_visible_width,bar_0_x,marker_1_x,marker_1_visible_width,bar_1_x,marker_2_x,marker_2_visible_width,bar_2_x,marker_3_x,marker_3_visible_width,bar_3_x
0,-743.83995,-802.3167999999998,-684.6709,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
1,-681.3438,-707.1115999999998,-654.8838,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
2,-653.1137,-677.4478999999999,-628.0872999999999,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
3,-624.7148500000001,-650.6662999999999,-598.0712,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
4,-595.01745,-620.7014999999999,-568.6411999999999,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
5,-562.79645,-591.3338999999999,-533.5668,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
6,-532.5151,-556.2491999999999,-508.0888,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
7,-505.81755,-530.5480999999999,-480.39480000000003,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
8,-476.96245,-503.0991999999999,-450.1334999999999,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
9,-445.79279999999994,-472.83659999999986,-418.05680000000007,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
10,-414.38114999999993,-440.75929999999994,-387.3108,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
11,-385.78999999999996,-409.8745999999999,-361.01319999999987,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
12,-357.18970000000013,-383.6015,-330.08569999999986,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
13,-326.2908500000001,-352.7872,-299.1023,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
14,-295.6176499999999,-321.8060999999998,-268.73699999999985,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
15,-262.99884999999995,-291.4390999999998,-233.8664000000001,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
16,-232.82240000000002,-256.5345999999997,-208.4179999999999,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
17,-205.57400000000007,-231.05349999999976,-179.40229999999997,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
18,-176.1086499999999,-202.0121999999999,-149.51289999999995,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
19,-146.4294,-172.1375999999998,-120.029,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
20,-116.82455000000004,-142.73039999999992,-90.22649999999999,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
21,-83.90165000000002,-112.77890000000002,-54.33220000000006,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
22,-54.405050000000074,-76.90849999999978,-31.20939999999996,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
23,-26.213199999999915,-53.912000000000035,2.177800000000161,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
24,5.481950000000097,-20.40099999999984,32.05710000000022,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
25,34.8776499999999,9.357799999999997,61.08969999999999,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
26,66.41564999999991,38.509500000000116,95.0139999999999,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
27,96.00774999999999,72.45970000000011,120.24800000000005,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
28,124.70659999999998,97.55230000000006,152.5531000000001,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
29,163.44420000000014,129.8584000000003,197.72219999999993,158,1.0000000000000002,38,64,38,,0,,,0,,,0,
30,201.7237,175.0268000000001,229.1128000000001,158,1.0000000000000002,38,64,38,,0,,,0,,,0,
31,239.00620000000004,206.53539999999998,272.16920000000005,177,0.9908853570917499,80,64,80,,0,,,0,,,0,
32,275.24339999999984,249.54860000000008,301.6304,177,0.9908853570917499,80,64,80,,0,,,0,,,0,
33,315.6651999999999,279.0082000000002,353.0144,192,0.9981051444842101,114,64,114,,0,,,0,,,0,
34,363.5343499999999,330.40120000000024,397.3597,192,0.9981051444842101,114,64,114,,0,,,0,,,0,
35,412.72344999999996,374.67420000000016,451.46489999999994,209,0.9962212227973904,152,64,152,,0,,,0,,,0,
36,465.8352,428.8256000000001,503.53700000000003,209,0.9962212227973904,152,64,152,,0,,,0,,,0,
37,519.1603,480.92780000000016,558.0850000000003,227,0.9867388740340424,192,64,192,,0,,,0,,,0,
38,570.15165,535.4613000000002,605.5342000000003,227,0.9867388740340424,192,64,192,,0,,,0,,,0,
39,615.30005,582.9528000000003,648.3395000000003,249,0.9718793915326165,241,64,241,,0,,,0,,,0,
40,654.1052999999999,625.7034999999998,683.1993,249,0.9718793915326165,241,64,241,,0,,,0,,,0,
41,694.9448999999997,660.6054999999999,729.9765,249,0.9718793915326165,241,64,241,,0,,,0,,,0,
42,738.6132499999997,707.3902,770.5285000000001,,0.7235642459277059,269,64,269,,0,,,0,,,0,
43,791.9295999999997,747.903,836.6484000000003,,0.445484999858396,312,64,312,,0,,,0,,,0,
44,847.9203,814.0158000000004,882.517,,0.445484999858396,312,64,312,,0,,,0,,,0,
