frame,t_ms,interval_start_ms,interval_end_ms,header_second_x,header_correlation,marker_0_x,marker_0_visible_width,bar_0_x,marker_1_x,marker_1_visible_width,bar_1_x,marker_2_x,marker_2_visible_width,bar_2_x,marker_3_x,marker_3_visible_width,bar_3_x
0,-1163.7386999999999,-1415.8811999999994,-679.7751000000001,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
1,-1083.1195,-1317.3847999999994,-617.0331000000001,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
2,-1033.06995,-1254.7368999999994,-579.5819000000001,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
3,-1000.87345,-1217.3603999999996,-552.5654000000002,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
4,-972.2036,-1190.4354999999996,-522.1506000000002,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
5,-944.9283500000001,-1160.0243999999996,-498.01120000000014,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
6,-917.1022,-1135.8894999999995,-466.4938000000002,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
7,-885.48775,-1104.3672999999994,-434.78710000000024,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
8,-853.3895,-1072.5634999999995,-402.39440000000013,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
9,-823.53565,-1040.1761999999994,-375.07400000000007,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
10,-792.8991000000001,-1012.8085999999994,-341.1685000000002,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
11,-762.7418,-979.0456999999994,-314.61680000000024,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
12,-735.15255,-952.4924999999994,-285.9915000000001,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
13,-701.9503500000001,-923.8636999999994,-248.21590000000015,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
14,-668.77935,-885.9993999999995,-219.73820000000023,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
15,-642.1202000000001,-857.5425999999995,-194.87670000000026,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
16,-614.4544000000001,-832.0942999999995,-164.9934000000003,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
17,-581.55005,-802.8221999999996,-128.45680000000016,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
18,-540.0269499999999,-766.2143999999994,-82.01840000000016,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
19,-494.97305000000006,-719.8043999999995,-38.32060000000001,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
20,-456.93375000000015,-676.0710999999997,-5.975300000000061,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
21,-420.89515000000006,-643.7059999999997,33.736799999999675,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
22,-379.6001000000001,-604.0816999999995,76.70260000000007,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
23,-340.32209999999986,-560.9517999999994,112.12869999999975,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
24,-298.6246000000001,-525.6452999999995,160.2171999999996,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
25,-252.29905000000008,-477.5825999999995,204.80559999999969,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
26,-206.27060000000006,-432.35099999999966,251.63089999999966,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
27,-156.72979999999984,-386.1115999999995,304.4730999999997,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
28,-113.20354999999995,-333.29649999999947,338.7104999999997,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
29,-73.13395000000014,-298.99549999999954,384.5486999999998,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
30,-27.48770000000013,-253.11149999999952,429.95719999999983,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
31,17.187199999999848,-207.8113999999996,474.00689999999986,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
32,64.02554999999984,-163.64499999999953,523.5171999999998,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
33,112.04185000000007,-113.99329999999941,569.8980999999999,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
34,165.0673999999999,-67.86479999999983,629.8206999999998,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
35,227.3097499999999,-7.881799999999657,694.3223999999996,101,0.9726088045593316,,0,-190,,0,,,0,,,0,
36,283.8188500000001,56.607800000000225,742.8510000000001,101,0.9726088045593316,,0,-190,,0,,,0,,,0,
37,358.6352499999998,105.14460000000054,843.9469999999997,88,0.9981742618466036,,0,-237,,0,,,0,,,0,
38,445.8017500000001,206.20930000000044,917.2152999999998,80,0.998071286048552,,0,-265,,0,,,0,,,0,
39,510.43470000000025,279.42990000000054,973.2606000000001,80,0.998071286048552,,0,-265,,0,,,0,,,0,
40,561.3530500000002,335.4613000000004,1019.0659,77,0.985639957454274,,0,-277,,0,,,0,,,0,
41,623.3886500000003,381.31940000000077,1097.279,68,0.9933471698250416,,0,-371,,0,,,0,,,0,
42,695.8056499999998,459.5772000000002,1163.8551999999995,50,0.991432666926799,,0,-428,,0,,,0,,,0,
43,758.6322,526.1005000000005,1222.9850000000001,37,0.9970098004366209,,0,,,0,,,0,,,0,
44,818.8957999999998,585.2818000000002,1284.3309,25,0.9988666623045891,,0,,,0,,,0,,,0,
45,887.5147999999995,646.5536000000006,1360.2970999999998,21,0.9993909810509995,,0,,,0,,,0,,,0,
46,965.1925500000002,722.5764000000004,1439.6297999999997,21,0.9993909810509995,,0,,279,63,279,,0,,,0,
47,1041.6457999999998,802.1046000000001,1513.0081,21,0.9993909810509995,,0,,110,63,110,,0,,,0,
48,1114.8551499999999,875.3009000000006,1586.2304999999997,21,0.9993909810509995,,0,,51,63,51,,0,,,0,
49,1189.2780499999994,948.4911000000006,1661.8860999999997,21,0.9993909810509995,,0,,32,63,32,,0,,,0,
50,1274.6120999999998,1024.1543000000006,1756.8909999999996,21,0.9993909810509995,,0,,25,63,25,,0,,,0,
51,1343.4940999999994,1119.3056000000001,1799.5036999999998,21,0.9993909810509995,,0,,24,64,24,,0,,,0,
52,1381.8042499999997,1161.7173000000007,1833.7122999999997,21,0.9993909810509995,,0,,24,64,24,,0,,,0,
53,1417.19605,1195.9142000000006,1870.299,21,0.9993909810509995,,0,,24,64,24,,0,,,0,
54,1456.3839000000003,1232.4930000000008,1912.0958999999998,21,0.9993909810509995,,0,,24,64,24,,0,,,0,
55,1491.2512000000002,1274.3021000000003,1940.0213999999996,21,0.9993909810509995,,0,,24,64,24,,0,,,0,
56,1520.04225,1302.3437000000008,1969.5618999999997,21,0.9993909810509995,,0,,24,64,24,,0,,,0,
57,1550.6549,1331.8037000000008,2001.3272000000002,21,0.9993909810509995,,0,,24,64,24,,0,,,0,
58,1585.7523500000002,1363.5442000000007,2039.7815999999998,21,0.9993909810509995,,0,,24,64,24,,0,,,0,
