frame,t_ms,interval_start_ms,interval_end_ms,header_second_x,header_correlation,marker_0_x,marker_0_visible_width,bar_0_x,marker_1_x,marker_1_visible_width,bar_1_x,marker_2_x,marker_2_visible_width,bar_2_x,marker_3_x,marker_3_visible_width,bar_3_x
0,-741.6727499999998,-792.9069000000002,-691.3290000000002,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
1,-684.7045499999999,-709.8513000000002,-660.4482000000002,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
2,-652.7612499999999,-679.1642000000002,-627.2487000000002,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
3,-623.8760999999998,-645.9940000000001,-602.6486000000002,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
4,-597.9915499999998,-621.3531000000002,-575.5204000000001,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
5,-556.7368999999999,-594.2675000000002,-520.0967000000002,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
6,-503.7222499999998,-538.7817000000001,-469.5532000000003,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
7,-462.6113,-488.22540000000026,-437.88760000000025,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
8,-425.2318499999999,-456.7103000000002,-394.6438000000003,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
9,-387.92155,-413.35630000000015,-363.37720000000013,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
10,-356.42764999999986,-382.21680000000015,-331.52890000000025,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
11,-325.32665,-350.3299000000002,-301.2138000000002,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
12,-293.52589999999987,-319.83720000000017,-268.10500000000025,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
13,-264.8342499999999,-286.77800000000025,-243.7809000000002,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
14,-237.85839999999985,-262.6251000000002,-213.98210000000017,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
15,-207.05634999999984,-232.8230000000001,-182.18010000000004,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
16,-175.10389999999984,-200.8773000000001,-150.22090000000026,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
17,-144.6214,-168.83450000000016,-121.29870000000028,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
18,-115.7182499999999,-139.94830000000002,-92.3786,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
19,-85.87384999999995,-111.09350000000018,-61.54460000000017,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
20,-55.196699999999964,-80.3302000000001,-30.95360000000028,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
21,-23.63404999999989,-49.707400000000234,1.548899999999776,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
22,14.746600000000171,-17.15150000000017,45.75429999999983,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
23,50.29515000000015,27.05269999999973,72.64719999999988,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
24,78.3460500000001,53.88209999999981,101.91959999999972,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
25,110.21665000000007,83.08919999999989,136.4536999999998,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
26,148.83280000000013,117.70089999999982,179.07429999999977,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
27,199.9960000000001,160.3237999999999,238.77779999999984,153,0.9967883380166249,,54,-10,,0,,,0,,,0,
28,261.77305,220.07039999999984,302.58529999999973,148,0.9991472068128904,,36,-28,,0,,,0,,,0,
29,309.6840000000002,283.8334,334.6441999999997,148,0.9991472068128904,,36,-28,,0,,,0,,,0,
30,378.38329999999996,315.8580999999999,440.0180999999998,133,0.9810169663838139,,0,-82,,0,,,0,,,0,
31,471.3100000000002,421.34029999999984,520.3892999999998,128,0.9881177129901819,,0,-97,,0,,,0,,,0,
32,529.4412000000002,501.67650000000003,556.3154999999997,128,0.9881177129901819,,0,-97,,0,,,0,,,0,
33,577.4863,537.5862999999999,616.4958999999999,106,0.9859216475888697,,0,-174,,0,,,0,,,0,
34,624.3636000000001,597.7824999999998,650.0542999999998,106,0.9859216475888697,,0,-174,,0,,,0,,,0,
35,684.8540000000003,631.3029999999999,737.5145999999995,95,0.9717158320929618,,0,-212,,0,,,0,,,0,
36,751.8660500000001,718.7532999999999,784.0883999999996,95,0.9717158320929618,,0,-212,,0,,,0,,,0,
37,803.1615500000003,765.3081999999999,840.1244999999999,80,0.9837736524378042,,0,-265,,0,,,0,,,0,
38,857.4876000000004,821.3770999999997,892.7076999999999,80,0.9837736524378042,,0,-265,,0,,,0,,,0,
39,908.0021999999999,873.9436999999998,941.1702999999998,74,0.9979920772161625,,0,-287,,0,,,0,,,0,
40,948.4810500000003,922.4108999999999,973.6607999999997,74,0.9979920772161625,,0,-287,,0,,,0,,,0,
41,997.3420000000001,954.8755999999998,1038.9179999999997,67,0.9988978343722663,,0,-357,,0,,,0,,,0,
42,1063.9227500000002,1020.1232999999997,1106.8318,53,0.9970055726328632,,0,-414,,0,,,0,,,0,
43,1129.2746000000002,1088.0557,1169.6030999999998,37,0.9985316339153594,,0,,,0,,,0,,,0,
44,1194.03505,1150.8100999999997,1236.3696,25,0.9790457686962651,,0,,,0,,,0,,,0,
