frame,t_ms,interval_start_ms,interval_end_ms,header_second_x,header_correlation,marker_0_x,marker_0_visible_width,bar_0_x,marker_1_x,marker_1_visible_width,bar_1_x,marker_2_x,marker_2_visible_width,bar_2_x,marker_3_x,marker_3_visible_width,bar_3_x
0,-799.0136500000001,-848.2282,-749.7991000000001,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
1,-688.1035,-718.6418,-657.5652,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
2,-642.7211000000001,-659.2128,-626.2294,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
3,-611.4835500000002,-627.8408,-595.1263000000001,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
4,-580.3891000000001,-596.7419,-564.0363,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
5,-537.9627500000001,-565.768,-510.1575,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
6,-491.8515500000001,-511.72849999999994,-471.9746,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
7,-459.01155000000017,-473.43100000000004,-444.5921000000001,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
8,-430.9892500000001,-446.2287000000001,-415.74980000000005,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
9,-400.87564999999995,-417.4819,-384.26940000000013,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
10,-354.60699999999997,-385.87850000000003,-323.33550000000014,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
11,-302.23035000000004,-325.04240000000004,-279.41830000000004,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
12,-265.35540000000015,-280.9848999999999,-249.7258999999999,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
13,-234.56145000000015,-251.4529,-217.67000000000007,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
14,-205.18640000000005,-219.28510000000006,-191.08770000000004,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
15,-177.3813500000001,-192.82320000000004,-161.93949999999995,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
16,-146.56625000000008,-163.56709999999998,-129.56539999999995,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
17,-115.08590000000004,-131.29779999999982,-98.87400000000002,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
18,-82.55875000000015,-100.60570000000007,-64.51180000000022,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
19,-53.783950000000004,-66.23749999999995,-41.330400000000054,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
20,-25.33030000000008,-43.06010000000015,-7.600500000000011,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
21,13.004249999999956,-9.202800000000025,35.21129999999994,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
22,51.75624999999991,33.54169999999999,69.97080000000005,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
23,93.29359999999997,68.35030000000006,118.23689999999988,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
24,145.44909999999982,116.5969,174.30130000000008,138,0.9968603745488134,,0,-147,,0,,,0,,,0,
25,206.4527999999998,172.6377,240.26789999999983,101,0.9798450994597241,,0,-329,,0,,,0,,,0,
26,272.96614999999997,238.62249999999995,307.3098,60,0.983011830168675,,0,-415,,0,,,0,,,0,
27,347.3285999999998,305.63419999999996,389.0229999999999,32,0.9991622033545082,,0,,,0,,,0,,,0,
28,419.1471499999998,387.36749999999984,450.92679999999996,21,0.9993909810509995,,0,,,0,,,0,,,0,
29,485.5102999999999,449.2658000000001,521.7547999999997,21,0.9993909810509995,,0,,403,63,403,,0,,,0,
30,548.1374999999998,520.1318999999999,576.1431000000002,21,0.9993909810509995,,0,,187,63,187,,0,,,0,
31,611.9074,574.46,649.3548000000001,21,0.9993909810509995,,0,,91,63,91,,0,,,0,
32,682.3360000000002,647.6803,716.9917,21,0.9993909810509995,,0,,44,63,44,,0,,,0,
33,743.5888999999997,715.3107,771.8670999999999,21,0.9993909810509995,,0,,31,63,31,,0,,,0,
34,811.43345,770.2174,852.6495,21,0.9993909810509995,,0,,26,63,26,,0,,,0,
35,876.7188000000001,850.9747000000002,902.4629,21,0.9993909810509995,,0,,24,64,24,,0,,,0,
36,926.8169499999999,900.7746999999999,952.8591999999999,21,0.9993909810509995,,0,,24,64,24,,0,,,0,
37,970.9862499999999,951.2251000000001,990.7474000000002,21,0.9993909810509995,,0,,24,64,24,,0,,,0,
38,1013.3948999999998,989.1352000000002,1037.6545999999998,21,0.9993909810509995,,0,,24,64,24,,0,,,0,
39,1055.4735999999998,1036.0592000000001,1074.888,21,0.9993909810509995,,0,,24,64,24,,0,,,0,
40,1089.91435,1073.3228,1106.5059,21,0.9993909810509995,,0,,24,64,24,,0,,,0,
41,1119.2683499999998,1104.9124000000002,1133.6243,21,0.9993909810509995,,0,,24,64,24,,0,,,0,
42,1144.9976499999998,1131.9173999999998,1158.0779000000002,21,0.9993909810509995,,0,,24,64,24,,0,,,0,
43,1172.3768499999996,1156.384,1188.3697000000002,21,0.9993909810509995,,0,,24,64,24,,0,,,0,
44,1203.5351500000002,1186.6415000000002,1220.4287999999997,21,0.9993909810509995,,0,,24,64,24,,0,,,0,
45,1234.2046500000001,1218.6932000000002,1249.7160999999996,21,0.9993909810509995,,0,,24,64,24,,0,,,0,
46,1263.9146500000002,1248.0680000000002,1279.7613000000001,21,0.9993909810509995,,0,,24,64,24,,0,,,0,
47,1295.3299000000002,1278.2058000000002,1312.4539999999997,21,0.9993909810509995,,0,,24,64,24,,0,,,0,
48,1324.6509999999998,1310.8816000000002,1338.4204,21,0.9993909810509995,,0,,24,64,24,,0,,,0,
