frame,t_ms,interval_start_ms,interval_end_ms,header_second_x,header_correlation,marker_0_x,marker_0_visible_width,bar_0_x,marker_1_x,marker_1_visible_width,bar_1_x,marker_2_x,marker_2_visible_width,bar_2_x,marker_3_x,marker_3_visible_width,bar_3_x
0,-763.1030999999999,-795.8407,-710.9225999999999,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
1,-721.20645,-744.1549,-678.8150999999999,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
2,-691.6437999999999,-712.3023999999999,-651.5422999999998,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
3,-662.5135,-684.7778,-620.8062999999999,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
4,-631.4359999999999,-654.1575,-589.2715999999998,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
5,-601.2198,-622.6406999999999,-560.3559999999999,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
6,-570.8145,-593.7536,-528.4324999999999,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
7,-540.1539,-561.9229,-498.9419999999999,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
8,-509.0422,-532.3158999999999,-466.3255999999999,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
9,-477.65374999999995,-499.81039999999996,-436.0541999999998,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
10,-449.4456500000001,-469.41290000000004,-410.03549999999996,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
11,-421.73029999999994,-443.51,-380.5076999999999,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
12,-390.16685000000007,-413.83349999999996,-347.05729999999994,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
13,-358.5437499999998,-380.4387999999999,-317.2057999999997,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
14,-330.4935499999999,-350.56129999999985,-290.9829,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
15,-301.4583,-324.46990000000005,-259.00379999999996,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
16,-270.8849499999999,-292.37519999999995,-229.95179999999982,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
17,-239.6518000000001,-263.32220000000007,-196.53849999999989,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
18,-209.73495000000003,-230.02189999999996,-170.00509999999986,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
19,-180.08210000000008,-203.40249999999992,-137.3188,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
20,-150.58285,-170.7119,-111.01089999999976,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
21,-121.25209999999993,-144.49569999999994,-78.5655999999999,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
22,-88.96259999999984,-111.93730000000005,-46.544999999999845,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
23,-58.881849999999986,-80.0288999999998,-18.291899999999714,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
24,-29.67730000000006,-51.61779999999999,11.706100000000106,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
25,7.161399999999958,-21.648799999999937,55.41450000000009,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
26,52.24985000000015,21.937400000000025,102.00520000000006,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
27,92.24365000000012,68.73160000000007,135.19860000000017,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
28,136.81060000000002,101.91530000000012,191.14880000000016,206,0.9972149858459133,209,64,209,,0,,,0,,,0,
29,196.2844,157.79449999999997,254.21720000000005,240,0.9804454008500657,284,64,284,,0,,,0,,,0,
30,243.08220000000006,220.74389999999994,284.8634000000002,240,0.9804454008500657,284,64,284,,0,,,0,,,0,
31,281.43975,251.49069999999983,330.8317000000002,244,0.9725302839276967,295,64,295,,0,,,0,,,0,
32,335.2814000000001,297.45029999999997,392.5554000000002,255,0.9990604826977408,396,63,396,,0,,,0,,,0,
33,394.64175,359.0756000000001,449.6508000000001,,0.42256624229868583,,20,460,,0,,,0,,,0,
34,453.55010000000016,416.2820999999999,510.2610000000002,,0.42323122205819896,,0,,,0,,,0,,,0,
35,514.5973000000001,476.84680000000026,571.7907,,0.403309341478536,,0,,,0,,,0,,,0,
36,573.3881500000002,538.4014000000002,627.8178000000003,,0.39107567606456595,,0,,,0,,,0,,,0,
